Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-22,50.38,50.45,50.18,50.25,8316,EQ,47.0,176.94,6699.0
2026-05-25,50.63,50.67,50.16,50.3,14732,EQ,102.0,144.43,12928.0
2026-05-26,50.3,50.34,50.0,50.32,3010,EQ,30.0,100.33,2692.0
2026-05-27,50.39,50.39,50.07,50.2,1094,EQ,17.0,64.35,744.0
2026-05-29,50.05,50.1,49.36,49.48,4996,EQ,60.0,83.27,3151.0
2026-06-01,49.62,49.62,48.25,48.3,9866,EQ,102.0,96.73,8366.0
2026-06-02,48.11,48.78,48.0,48.74,15341,EQ,48.0,319.6,9129.0
2026-06-03,48.52,48.54,47.95,48.14,64062,EQ,112.0,571.98,40404.0
2026-06-04,48.31,48.61,48.13,48.33,11342,EQ,30.0,378.07,10223.0
2026-06-05,48.33,48.38,48.06,48.26,1299,EQ,25.0,51.96,940.0
2026-06-08,47.95,48.49,47.87,48.05,2314,EQ,35.0,66.11,1406.0
2026-06-09,48.37,48.6,48.2,48.4,10589,EQ,29.0,365.14,9869.0
2026-06-10,49.29,49.45,48.03,48.27,12914,EQ,64.0,201.78,5853.0
2026-06-11,48.68,48.93,48.38,48.39,3613,EQ,37.0,97.65,3106.0
2026-06-12,48.96,48.97,48.62,48.89,1653,EQ,19.0,87.0,918.0
2026-06-15,51.09,51.09,49.05,49.12,8592,EQ,34.0,252.71,1588.0
2026-06-16,49.44,49.77,49.22,49.71,30710,EQ,40.0,767.75,23622.0
2026-06-17,49.78,49.95,49.43,49.67,6453,EQ,45.0,143.4,3450.0
2026-06-18,49.91,49.91,49.59,49.77,5718,EQ,46.0,124.3,3224.0
2026-06-19,49.54,49.75,49.25,49.55,4052,EQ,37.0,109.51,3182.0
2026-06-22,49.79,49.79,49.33,49.47,7426,EQ,35.0,212.17,3984.0
2026-06-23,50.38,50.38,49.1,49.22,28319,EQ,45.0,629.31,17486.0
2026-06-24,49.3,49.37,49.16,49.29,3659,EQ,19.0,192.58,3550.0
2026-06-25,49.41,49.7,49.35,49.65,15405,EQ,28.0,550.18,14949.0
2026-06-29,49.65,49.86,49.12,49.22,4995,EQ,30.0,166.5,4499.0
2026-06-30,49.12,49.16,48.91,49.0,1611,EQ,35.0,46.03,1173.0
2026-07-01,49.76,50.03,49.51,50.02,5049,EQ,25.0,201.96,4188.0
2026-07-02,50.02,50.3,49.74,50.19,5195,EQ,46.0,112.93,4621.0
2026-07-03,50.52,50.52,50.06,50.3,9945,EQ,24.0,414.38,5395.0
2026-07-06,50.25,50.44,50.12,50.38,4784,EQ,31.0,154.32,3720.0
2026-07-07,50.16,50.43,50.01,50.41,16098,EQ,37.0,435.08,12377.0
2026-07-08,50.11,50.11,49.0,49.1,4659,EQ,70.0,66.56,3374.0
2026-07-09,49.65,49.71,49.35,49.55,2487,EQ,17.0,146.29,1314.0
2026-07-10,49.85,49.85,49.36,49.55,4476,EQ,33.0,135.64,3015.0
2026-07-13,49.27,49.29,48.97,49.03,7005,EQ,41.0,170.85,3009.0
2026-07-14,49.13,49.13,48.73,48.75,3790,EQ,34.0,111.47,2665.0
2026-07-15,48.79,48.79,48.44,48.51,7193,EQ,36.0,199.81,3727.0
2026-07-16,48.72,48.8,48.53,48.61,1080,EQ,19.0,56.84,679.0
2026-07-17,48.45,49.04,48.45,49.03,10926,EQ,30.0,364.2,5978.0
2026-07-20,49.03,50.5,48.89,50.02,3239,EQ,17.0,190.53,3049.0
2026-07-21,49.36,49.48,48.9,49.15,10744,EQ,63.0,170.54,5617.0
2026-07-22,48.96,49.47,48.76,49.38,1332,EQ,28.0,47.57,764.0
2026-07-23,49.55,49.57,49.08,49.26,4299,EQ,30.0,143.3,2112.0
2026-07-24,49.15,49.35,49.05,49.25,6909,EQ,25.0,276.36,5523.0
2026-07-27,49.8,49.84,49.55,49.81,6305,EQ,20.0,315.25,3399.0
2026-07-28,49.79,50.21,48.9,49.63,11212,EQ,58.0,193.31,6302.0
2026-07-29,49.61,49.98,49.61,49.92,14980,EQ,22.0,680.91,9720.0
2026-07-30,49.99,50.1,49.57,49.89,6267,EQ,39.0,160.69,4298.0
2026-07-31,49.62,49.62,49.35,49.43,6457,EQ,48.0,134.52,2963.0
2026-08-03,49.85,50.25,49.67,50.0,7978,EQ,235.0,33.95,3670.0
2026-08-04,49.86,49.97,49.3,49.45,12652,EQ,65.0,194.65,6177.0
2026-08-05,49.51,49.71,48.5,49.13,6419,EQ,238.0,26.97,2049.0
2026-08-06,49.53,49.67,49.45,49.6,5651,EQ,43.0,131.42,2656.0
2026-08-07,49.45,50.05,49.45,49.83,4168,EQ,24.0,173.67,2961.0
2026-08-10,51.07,51.07,49.4,49.61,5592,EQ,59.0,94.78,2783.0
2026-08-11,49.44,49.6,49.1,49.12,9704,EQ,81.0,119.8,5416.0
2026-08-12,48.9,49.46,48.41,48.82,15067,EQ,122.0,123.5,9136.0
2026-08-13,48.64,49.19,48.64,49.16,2667,EQ,30.0,88.9,2122.0
2026-08-14,48.92,49.15,48.81,48.89,2827,EQ,47.0,60.15,1680.0
2026-08-17,48.89,48.91,48.36,48.57,13691,EQ,132.0,103.72,6674.0
2026-08-18,49.54,49.54,48.04,48.14,33472,EQ,158.0,211.85,14982.0
2026-08-19,48.0,48.11,47.66,47.73,21566,EQ,137.0,157.42,8840.0
2026-08-20,48.0,48.31,47.81,48.07,53421,EQ,165.0,323.76,51485.0
2026-08-21,48.07,48.07,47.72,47.91,29754,EQ,112.0,265.66,15957.0
2026-08-24,48.14,48.46,47.45,47.65,14845,EQ,228.0,65.11,10727.0
2026-08-25,47.48,47.82,47.48,47.81,14191,EQ,73.0,194.4,6407.0
2026-08-26,47.86,48.03,47.6,47.68,9527,EQ,196.0,48.61,5485.0
2026-08-27,47.62,48.88,47.26,47.47,9558,EQ,198.0,48.27,7918.0
2026-08-28,47.47,47.9,46.84,47.33,37492,EQ,214.0,175.2,27225.0
2026-08-31,46.84,47.7,46.6,46.83,34359,EQ,227.0,151.36,26135.0
