Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1540.0,1590.0,1460.0,1474.0,14025,EQ,1005.0,13.96,8361.0
2026-08-18,1450.1,1499.8,1400.0,1436.7,28535,EQ,2288.0,12.47,14119.0
2026-08-19,1412.6,1449.9,1404.6,1428.0,11940,EQ,1393.0,8.57,6608.0
2026-08-20,1422.7,1499.0,1422.7,1471.8,19545,EQ,1898.0,10.3,11767.0
2026-08-21,1469.0,1469.0,1415.0,1434.6,10306,EQ,1279.0,8.06,6568.0
2026-08-24,1469.9,1469.9,1403.0,1431.1,17421,EQ,1692.0,10.3,10896.0
2026-08-25,1431.1,1465.0,1420.6,1448.6,15597,EQ,1621.0,9.62,9626.0
2026-08-26,1465.5,1536.0,1446.9,1494.3,33106,EQ,3161.0,10.47,15794.0
2026-08-27,1519.9,1526.8,1474.7,1492.7,19034,EQ,1779.0,10.7,10258.0
2026-08-28,1500.1,1509.8,1465.7,1476.6,10875,EQ,1108.0,9.81,6471.0
2026-08-31,1475.0,1494.0,1431.0,1446.9,20616,EQ,2206.0,9.35,11069.0
2026-09-01,1463.7,1531.0,1450.0,1497.8,24906,EQ,2580.0,9.65,13034.0
2026-09-02,1497.8,1519.6,1470.0,1505.8,9712,EQ,1487.0,6.53,5626.0
2026-09-03,1525.9,1525.9,1480.0,1488.3,9559,EQ,987.0,9.68,5196.0
2026-09-04,1502.9,1517.0,1458.0,1470.7,15103,EQ,1248.0,12.1,9286.0
2026-09-07,1487.0,1487.0,1360.0,1405.5,33122,EQ,2658.0,12.46,22432.0
2026-09-08,1409.9,1430.0,1320.1,1356.8,97274,EQ,11388.0,8.54,40909.0
2026-09-09,1369.3,1449.0,1348.0,1439.2,63586,EQ,7791.0,8.16,24360.0
2026-09-10,1460.0,1493.0,1418.2,1461.2,44072,EQ,5916.0,7.45,17380.0
2026-09-11,1450.0,1450.0,1400.0,1412.2,25210,EQ,3386.0,7.45,10520.0
2026-09-15,1424.7,1424.7,1308.1,1327.9,66072,EQ,8036.0,8.22,28536.0
2026-09-16,1322.5,1345.8,1195.2,1221.6,306726,EQ,15302,20.04,135993
2026-09-17,1229.7,1302.8,1225.0,1278.2,130408,EQ,11996,10.87,60689
2026-09-18,1300.2,1324.0,1288.1,1303.5,65181,EQ,4708,13.84,33619
