Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-26,185.0,191.65,165.4,168.67,64773158,EQ,415891.0,155.75,22150447.0
2026-08-27,172.0,173.94,164.1,165.13,7060479,EQ,49449.0,142.78,1987229.0
2026-08-28,165.13,170.4,156.91,158.66,5358385,EQ,46651.0,114.86,1457792.0
2026-08-31,157.91,158.66,149.55,150.97,3306446,EQ,24227.0,136.48,1431755.0
2026-09-01,152.5,164.4,149.51,161.79,6737896,EQ,52982.0,127.17,1237206.0
2026-09-02,159.75,164.7,158.1,163.83,2433047,EQ,24912.0,97.67,723943.0
2026-09-03,164.4,164.4,156.51,157.62,1287005,EQ,12816.0,100.42,401701.0
2026-09-04,158.0,162.01,157.51,161.1,1327301,EQ,15002.0,88.47,377772.0
2026-09-07,161.75,161.99,154.2,155.42,1078393,EQ,9214.0,117.04,535137.0
2026-09-08,156.9,157.2,152.54,153.64,555867,EQ,6358.0,87.43,205683.0
2026-09-09,153.65,160.0,152.61,158.69,1067431,EQ,11878.0,89.87,336773.0
2026-09-10,160.24,163.9,153.25,155.33,1928025,EQ,27727.0,69.54,547222.0
2026-09-11,155.0,155.2,151.0,152.6,695770,EQ,7632.0,91.16,300323.0
2026-09-15,152.61,153.09,141.2,142.55,792538,EQ,9188.0,86.26,382084.0
2026-09-16,142.73,144.45,137.5,138.83,551950,EQ,7514,73.46,199928
2026-09-17,138.0,147.14,138.0,145.03,712798,EQ,12011,59.35,241185
2026-09-18,145.84,145.84,142.0,142.5,198526,EQ,2969,66.87,93327
