Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-27,83.0,87.15,79.5,80.26,8849112,BE,30060,294.38,8849112
2026-03-02,78.1,84.05,76.25,82.72,1805882,BE,10811,167.04,1805882
2026-03-04,80.21,82.15,78.59,80.78,628028,BE,7490,83.85,628028
2026-03-05,80.01,81.94,79.0,79.8,356202,BE,4365,81.6,356202
2026-03-06,78.01,79.88,75.81,75.81,327687,BE,3631,90.25,327687
2026-03-09,72.02,76.0,72.02,73.59,450903,BE,2469,182.63,450903
2026-03-10,74.9,77.26,72.49,77.26,238396,BE,992,240.32,238396
2026-03-11,81.12,81.12,80.0,81.09,507232,BE,1830,277.18,507232
2026-03-12,79.1,83.0,77.77,80.87,317932,BE,2247,141.49,317932
2026-03-13,82.49,83.0,78.4,80.97,330262,BE,1324,249.44,330262
