Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-07-03,486.65,486.65,450.0,452.5,87608,EQ,5269.0,16.63,51374.0
2023-07-04,456.3,473.35,436.75,461.8,42324,EQ,2979.0,14.21,22815.0
2023-07-05,470.0,473.55,457.35,468.8,35240,EQ,3081.0,11.44,20405.0
2023-07-06,470.35,476.65,458.35,461.75,23272,EQ,2524.0,9.22,12251.0
2023-07-07,466.35,470.0,462.7,465.0,28503,EQ,2520.0,11.31,17252.0
2023-07-10,466.6,488.2,465.35,478.7,153832,EQ,4607.0,33.39,48587.0
2023-07-11,478.2,484.35,458.0,459.3,57171,EQ,3359.0,17.02,35776.0
2023-07-12,466.35,474.5,455.0,458.4,58346,EQ,3294.0,17.71,32909.0
2023-07-13,458.4,471.65,455.0,460.1,38961,EQ,4057.0,9.6,20040.0
2023-07-14,466.6,467.65,456.1,458.0,22100,EQ,1727.0,12.8,13470.0
2023-07-17,458.35,466.65,451.35,459.9,42417,EQ,4059.0,10.45,17994.0
2023-07-18,458.35,466.65,452.0,459.7,41054,EQ,3502.0,11.72,20579.0
2023-07-19,463.0,473.25,461.35,466.9,45919,EQ,4110.0,11.17,23991.0
2023-07-20,466.9,480.65,466.7,469.65,39178,EQ,4262.0,9.19,19702.0
2023-07-21,469.65,487.1,463.25,464.0,27038,EQ,3420.0,7.91,14810.0
2023-07-24,473.3,473.35,460.2,461.9,89469,EQ,2892.0,30.94,79098.0
2023-07-25,474.95,484.95,468.35,484.95,74805,EQ,1960.0,38.17,41832.0
2023-07-26,503.35,509.2,494.95,509.2,42000,EQ,819.0,51.28,33931.0
2023-07-27,513.35,534.65,488.35,528.25,152360,EQ,6876.0,22.16,84646.0
2023-07-28,538.35,554.65,507.1,526.35,117500,EQ,7192.0,16.34,45590.0
2023-07-31,533.35,552.7,530.0,552.7,32399,EQ,3764.0,8.61,19287.0
2023-08-01,560.05,580.0,553.35,564.3,234526,EQ,6840.0,34.29,181587.0
2023-08-02,573.0,581.0,538.0,559.25,63842,EQ,5556.0,11.49,33822.0
2023-08-03,567.15,574.15,549.05,555.0,20359,EQ,2269.0,8.97,12633.0
2023-08-04,573.25,573.25,555.0,562.75,16842,EQ,2088.0,8.07,10930.0
2023-08-07,564.65,566.3,554.15,560.5,22120,EQ,3021.0,7.32,12302.0
2023-08-08,554.05,575.9,554.05,566.05,26079,EQ,2395.0,10.89,18920.0
2023-08-09,568.7,594.35,563.7,581.2,168650,EQ,8982.0,18.78,89907.0
2023-08-10,586.0,588.25,573.0,578.5,53231,EQ,3307.0,16.1,42459.0
2023-08-11,586.0,591.6,571.8,580.7,83306,EQ,4744.0,17.56,62187.0
2023-08-14,581.65,609.75,569.0,609.75,113690,EQ,4628.0,24.57,73826.0
2023-08-16,616.65,633.0,579.25,597.3,93671,EQ,6834.0,13.71,53763.0
2023-08-17,600.0,600.0,572.35,581.9,47086,EQ,3879.0,12.14,31032.0
