Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,70.0,70.0,65.0,65.0,26,EQ,6.0,4.33,26.0
2026-08-18,69.0,69.0,60.46,63.03,1217,EQ,24.0,50.71,1017.0
2026-08-19,63.5,64.5,60.5,60.9,762,EQ,28.0,27.21,656.0
2026-08-20,61.75,61.75,61.75,61.75,10,EQ,1.0,10.0,10.0
2026-08-21,65.0,65.0,65.0,65.0,10,EQ,2.0,5.0,10.0
2026-08-24,65.0,65.0,60.3,63.0,1183,EQ,18.0,65.72,1182.0
2026-08-26,61.11,64.99,61.11,64.67,144,EQ,12.0,12.0,104.0
2026-08-27,65.0,65.0,64.67,65.0,84,EQ,4.0,21.0,84.0
2026-08-28,65.0,65.0,62.0,62.5,476,EQ,11.0,43.27,476.0
2026-08-31,62.81,68.75,62.01,66.09,773,EQ,35.0,22.09,541.0
2026-09-01,67.44,67.44,67.0,67.0,37,EQ,5.0,7.4,37.0
2026-09-02,66.33,66.99,65.8,65.8,68,EQ,7.0,9.71,64.0
2026-09-04,65.0,66.0,63.01,63.97,13013,EQ,30.0,433.77,7637.0
2026-09-07,64.0,68.0,62.25,65.25,1462,EQ,15.0,97.47,1229.0
2026-09-08,68.95,71.77,65.0,71.52,7204,EQ,52.0,138.54,7201.0
2026-09-09,72.0,74.0,65.0,66.43,17482,EQ,307.0,56.94,11116.0
2026-09-10,68.0,68.0,64.0,65.09,5467,EQ,109.0,50.16,5034.0
2026-09-11,65.0,67.0,63.51,64.79,2674,EQ,47.0,56.89,1917.0
2026-09-15,64.79,67.44,64.79,67.42,340,EQ,6.0,56.67,340.0
2026-09-16,65.8,66.12,62.2,62.37,916,EQ,16,57.25,906
2026-09-17,65.6,65.96,62.4,65.13,71,EQ,7,10.14,70
2026-09-18,62.6,69.89,62.6,67.44,10541,EQ,59,178.66,2970
