Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,101.5,101.5,97.2,99.5,7535,EQ,70.0,107.64,7072.0
2026-04-21,98.5,99.85,97.5,98.05,6937,EQ,106.0,65.44,5520.0
2026-04-22,98.05,101.0,97.05,98.15,5807,EQ,305.0,19.04,4463.0
2026-04-23,99.5,99.5,95.05,98.75,107771,EQ,301.0,358.04,104092.0
2026-04-24,98.9,100.0,96.65,97.85,72864,EQ,1140.0,63.92,64605.0
2026-04-27,96.8,101.65,95.0,97.1,67182,EQ,3412.0,19.69,37349.0
2026-04-28,96.95,98.5,94.0,96.6,332544,EQ,1347.0,246.88,311336.0
2026-04-29,96.5,96.6,91.75,95.65,370617,EQ,2199.0,168.54,325938.0
2026-04-30,95.7,97.9,92.5,97.65,53604,EQ,1207.0,44.41,29060.0
2026-05-04,95.3,100.0,95.3,99.6,115238,EQ,2727.0,42.26,77183.0
2026-05-05,99.6,103.3,99.6,101.05,134926,EQ,4313.0,31.28,73780.0
2026-05-06,101.5,102.2,97.66,101.45,147667,EQ,4864.0,30.36,78910.0
2026-05-07,102.9,105.05,101.8,102.73,203908,EQ,3782.0,53.92,144128.0
2026-05-08,103.99,103.99,98.5,99.98,45217,EQ,2126.0,21.27,23864.0
2026-05-11,98.72,99.81,97.6,98.72,61059,EQ,3043.0,20.07,37248.0
2026-05-12,97.73,99.31,93.22,96.02,104231,EQ,3851.0,27.07,54441.0
2026-05-13,97.89,98.25,95.38,97.19,64444,EQ,2351.0,27.41,34703.0
2026-05-14,98.0,99.66,96.1,97.36,51342,EQ,1124.0,45.68,26182.0
2026-05-15,97.44,99.02,94.25,97.53,90937,EQ,2109.0,43.12,49965.0
2026-05-18,97.98,97.98,94.1,94.89,32951,EQ,762.0,43.24,19497.0
2026-05-19,94.88,97.3,94.3,96.55,66992,EQ,777.0,86.22,52047.0
2026-05-20,95.42,97.29,95.42,96.44,59885,EQ,612.0,97.85,45257.0
2026-05-21,96.2,96.7,94.9,96.3,53556,EQ,989.0,54.15,33958.0
2026-05-22,96.3,97.0,95.4,96.04,49427,EQ,560.0,88.26,37609.0
2026-05-25,95.41,98.5,94.47,96.78,57789,EQ,1057.0,54.67,34233.0
2026-05-26,96.5,97.1,95.5,96.0,40177,EQ,649.0,61.91,25462.0
2026-05-27,95.51,96.8,94.7,95.95,50841,EQ,673.0,75.54,33752.0
2026-05-29,96.0,98.0,95.69,97.86,132777,EQ,2134.0,62.22,67932.0
2026-06-01,99.0,99.69,95.71,99.36,175696,EQ,1253.0,140.22,89716.0
2026-06-02,99.36,99.6,96.1,96.63,32262,EQ,480.0,67.21,24816.0
2026-06-03,96.11,96.6,94.9,95.74,55040,EQ,611.0,90.08,42043.0
2026-06-04,95.74,96.7,94.48,96.0,69083,EQ,602.0,114.76,49550.0
2026-06-05,98.6,98.6,95.61,95.72,47420,EQ,541.0,87.65,34461.0
2026-06-08,95.72,95.72,92.6,92.97,148357,EQ,2179.0,68.08,118998.0
2026-06-09,93.7,94.2,91.0,93.06,93727,EQ,1194.0,78.5,71534.0
2026-06-10,94.92,94.92,90.92,93.31,105256,EQ,1542.0,68.26,62635.0
2026-06-11,92.0,93.5,91.7,92.96,50299,EQ,706.0,71.25,25407.0
2026-06-12,90.52,93.5,90.52,93.04,55480,EQ,656.0,84.57,43668.0
2026-06-15,95.0,95.0,88.99,90.25,276388,EQ,2774.0,99.64,218445.0
2026-06-16,90.15,91.2,85.75,88.72,429274,EQ,5463.0,78.58,332080.0
2026-06-17,88.5,88.5,85.2,86.13,239429,EQ,2766.0,86.56,168821.0
2026-06-18,86.0,87.29,84.95,86.66,150213,EQ,1894.0,79.31,104546.0
2026-06-19,86.76,86.76,85.25,85.55,64164,EQ,696.0,92.19,47240.0
2026-06-22,83.52,87.9,83.52,85.84,65804,EQ,1212.0,54.29,39769.0
2026-06-23,86.5,86.75,85.25,86.12,69697,EQ,915.0,76.17,48993.0
2026-06-24,86.5,86.5,84.5,84.88,71569,EQ,511.0,140.06,51982.0
2026-06-25,83.2,101.85,83.2,101.85,3644362,EQ,27201.0,133.98,736357.0
2026-06-29,104.4,120.9,103.05,113.65,11332749,EQ,93043.0,121.8,985575.0
2026-06-30,112.61,113.59,105.37,106.91,967009,EQ,19141.0,50.52,166721.0
2026-07-01,110.39,117.39,105.2,106.61,1271745,EQ,22743.0,55.92,213947.0
2026-07-02,107.9,111.0,103.71,105.21,225635,EQ,4518.0,49.94,98239.0
2026-07-03,106.0,110.9,95.8,102.66,536533,EQ,15428.0,34.78,183789.0
2026-07-06,103.79,112.6,103.15,107.33,486228,EQ,17154.0,28.34,157177.0
2026-07-07,108.3,110.0,104.1,105.25,163056,EQ,7808.0,20.88,68805.0
2026-07-08,105.45,108.45,102.24,102.81,122200,EQ,2605.0,46.91,39265.0
2026-07-09,103.0,104.7,101.7,102.33,100429,EQ,2013.0,49.89,35897.0
2026-07-10,102.6,103.8,101.5,102.39,90037,EQ,2899.0,31.06,29699.0
2026-07-13,102.9,104.0,100.7,101.12,101734,EQ,3671.0,27.71,36774.0
2026-07-14,100.4,101.1,96.7,97.45,105282,EQ,2521.0,41.76,48731.0
2026-07-15,97.16,100.0,96.7,98.42,178115,EQ,3707.0,48.05,78408.0
2026-07-16,99.15,99.15,96.96,97.45,98296,EQ,698.0,140.83,78212.0
2026-07-17,95.51,101.0,95.39,99.37,238822,EQ,5581.0,42.79,117511.0
2026-07-20,99.3,102.8,97.28,99.08,216061,EQ,5596.0,38.61,88660.0
2026-07-21,96.3,98.39,96.3,97.76,57937,EQ,1282.0,45.19,22935.0
