Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,27.5,27.5,27.13,27.2,73,EQ,11.0,6.64,73.0
2026-08-21,27.13,27.13,26.9,26.9,13,EQ,6.0,2.17,13.0
2026-08-24,26.9,26.9,26.85,26.86,262,EQ,10.0,26.2,262.0
2026-08-25,26.93,26.93,26.91,26.91,31,EQ,7.0,4.43,31.0
2026-08-26,26.9,26.9,26.9,26.9,29,EQ,6.0,4.83,29.0
2026-08-27,26.82,26.82,26.82,26.82,1650000,EQ,177.0,9322.03,1650000.0
2026-08-28,26.66,26.89,26.66,26.89,11,EQ,3.0,3.67,11.0
2026-08-31,26.83,26.83,26.51,26.51,1245,EQ,13.0,95.77,929.0
2026-09-01,26.64,26.64,26.49,26.49,185,EQ,4.0,46.25,185.0
2026-09-04,26.79,26.79,26.48,26.79,42,EQ,4.0,10.5,22.0
2026-09-07,26.79,26.81,26.75,26.81,11,EQ,3.0,3.67,11.0
2026-09-08,26.81,26.83,26.47,26.83,520,EQ,4.0,130.0,515.0
2026-09-09,26.8,26.8,26.8,26.8,6,EQ,2.0,3.0,6.0
2026-09-10,26.48,26.83,26.48,26.83,377,EQ,3.0,125.67,371.0
2026-09-11,26.46,27.85,26.46,27.0,4,EQ,4.0,1.0,2.0
2026-09-15,27.0,27.0,24.32,26.3,519,EQ,14.0,37.07,507.0
