Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-10,171.01,174.9,166.01,169.21,29705,EQ,611.0,48.62,9244.0
2026-07-13,173.7,173.7,162.1,164.52,15771,EQ,540.0,29.21,5471.0
2026-07-14,167.0,170.0,164.2,165.68,36595,EQ,1098.0,33.33,3444.0
2026-07-15,166.5,167.53,163.1,163.32,31632,EQ,730.0,43.33,2459.0
2026-07-16,168.99,168.99,161.15,162.78,25968,EQ,450.0,57.71,2118.0
2026-07-17,164.57,169.76,160.3,161.72,29443,EQ,719.0,40.95,3459.0
2026-07-20,164.0,167.19,153.3,156.03,46518,EQ,2467.0,18.86,10051.0
2026-07-21,158.0,158.0,148.83,149.49,61869,EQ,2392.0,25.86,20196.0
2026-07-22,148.9,155.0,139.69,150.82,65969,EQ,2482.0,26.58,12103.0
2026-07-23,149.82,155.0,145.15,149.83,37372,EQ,712.0,52.49,6576.0
2026-07-24,149.13,151.99,147.7,149.51,32578,EQ,995.0,32.74,4206.0
2026-07-27,151.97,152.27,145.0,148.63,36262,EQ,750.0,48.35,8594.0
2026-07-28,150.93,151.0,145.25,145.38,30644,EQ,709.0,43.22,4628.0
2026-07-29,150.01,172.5,145.15,152.82,431549,EQ,1306.0,330.44,397685.0
2026-07-30,155.64,170.0,152.1,154.98,69511,EQ,1529.0,45.46,29985.0
2026-07-31,154.46,162.1,151.1,159.68,60407,EQ,949.0,63.65,31319.0
2026-08-03,158.0,168.0,156.0,161.69,44488,EQ,729.0,61.03,12856.0
2026-08-04,165.91,165.91,157.0,159.46,32430,EQ,458.0,70.81,4871.0
2026-08-05,163.57,163.9,157.0,161.31,39291,EQ,547.0,71.83,11632.0
2026-08-06,160.13,162.1,157.2,159.4,42413,EQ,339.0,125.11,18321.0
2026-08-07,159.99,170.0,156.48,164.3,39793,EQ,297.0,133.98,12007.0
2026-08-10,160.0,166.79,158.11,159.41,64734,EQ,1998.0,32.4,20364.0
2026-08-11,161.35,165.6,153.22,160.33,78622,EQ,1989.0,39.53,26026.0
2026-08-12,161.35,162.0,156.99,160.15,36123,EQ,943.0,38.31,6674.0
2026-08-13,161.09,161.71,159.0,159.5,33620,EQ,977.0,34.41,6071.0
2026-08-14,160.0,170.0,159.1,161.87,205712,EQ,4486.0,45.86,33573.0
2026-08-17,158.0,166.5,158.0,162.22,56069,EQ,830.0,67.55,15557.0
2026-08-18,162.23,162.61,155.21,157.94,47780,EQ,776.0,61.57,14237.0
2026-08-19,160.47,160.47,148.72,151.9,48275,EQ,638.0,75.67,16928.0
2026-08-20,153.4,172.17,152.0,159.08,178155,EQ,1892.0,94.16,56938.0
2026-08-21,159.95,165.0,158.18,159.32,50907,EQ,622.0,81.84,27340.0
2026-08-24,159.97,162.48,159.36,160.61,30698,EQ,288.0,106.59,6544.0
2026-08-25,161.8,162.7,160.0,160.74,11160,EQ,215.0,51.91,5806.0
2026-08-26,158.99,175.0,158.8,168.19,158090,EQ,1732.0,91.28,55049.0
2026-08-27,167.7,169.0,165.0,166.81,30786,EQ,742.0,41.49,19871.0
2026-08-28,168.58,168.58,164.88,166.82,12842,EQ,121.0,106.13,9167.0
2026-08-31,167.16,176.5,165.5,174.63,659877,EQ,229.0,2881.56,642517.0
2026-09-01,174.5,188.0,170.0,182.15,216367,EQ,2750.0,78.68,126045.0
2026-09-02,183.95,189.17,173.5,183.0,102161,EQ,1545.0,66.12,52108.0
2026-09-03,188.0,193.9,177.22,180.23,54722,EQ,1456.0,37.58,18711.0
2026-09-04,182.22,186.38,180.01,182.54,27733,EQ,629.0,44.09,15116.0
2026-09-07,184.15,188.0,182.52,186.34,23288,EQ,528.0,44.11,14885.0
2026-09-08,189.65,190.0,186.0,186.02,16980,EQ,599.0,28.35,8156.0
2026-09-09,186.9,187.77,180.11,181.7,47501,EQ,860.0,55.23,33843.0
2026-09-10,182.93,187.19,180.37,185.32,18925,EQ,539.0,35.11,13151.0
2026-09-11,189.0,189.0,175.0,175.73,47421,EQ,673.0,70.46,30283.0
2026-09-15,175.0,182.5,174.3,178.62,26808,EQ,454.0,59.05,18171.0
2026-09-16,176.1,182.1,176.1,178.11,19937,EQ,378,52.74,14394
2026-09-17,180.5,180.82,174.15,176.12,12955,EQ,377,34.36,7521
2026-09-18,177.51,182.49,168.18,171.05,223375,EQ,2821,79.18,173595
