Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,8.39,8.39,7.01,7.95,7766,EQ,69.0,112.55,4631.0
2026-08-18,7.2,8.4,7.2,8.12,26801,EQ,113.0,237.18,17565.0
2026-08-19,8.29,8.29,7.62,7.93,12274,EQ,103.0,119.17,9542.0
2026-08-20,8.2,8.29,7.05,8.09,28841,EQ,110.0,262.19,24047.0
2026-08-21,8.06,8.99,8.0,8.47,38246,EQ,132.0,289.74,27351.0
2026-08-24,7.42,8.79,7.42,7.94,13954,EQ,82.0,170.17,12882.0
2026-08-25,8.1,8.55,7.99,8.02,28459,EQ,158.0,180.12,24746.0
2026-08-26,9.24,9.24,8.11,8.18,31820,EQ,164.0,194.02,22577.0
2026-08-27,8.91,8.91,7.42,8.3,19787,EQ,162.0,122.14,12347.0
2026-08-28,8.83,8.83,8.0,8.03,36275,EQ,120.0,302.29,28246.0
2026-08-31,8.19,8.37,8.06,8.27,25750,EQ,139.0,185.25,23170.0
2026-09-01,8.31,8.31,8.0,8.03,9867,EQ,69.0,143.0,8109.0
2026-09-02,8.33,8.33,7.87,8.17,6209,EQ,73.0,85.05,6082.0
2026-09-03,7.56,8.36,7.56,8.1,8932,EQ,83.0,107.61,7283.0
2026-09-04,8.06,8.3,7.8,7.86,9884,EQ,114.0,86.7,9769.0
2026-09-07,8.18,8.18,7.61,8.11,368622,EQ,115.0,3205.41,367206.0
2026-09-08,8.19,9.65,7.71,8.59,371915,EQ,243.0,1530.51,347635.0
2026-09-09,8.59,8.85,8.06,8.49,390289,EQ,182.0,2144.45,374735.0
2026-09-10,8.46,8.46,8.26,8.4,361241,EQ,96.0,3762.93,359564.0
2026-09-11,8.39,8.39,8.02,8.05,6475,EQ,111.0,58.33,4613.0
2026-09-15,8.1,8.38,7.33,7.95,363072,EQ,114.0,3184.84,357413.0
2026-09-16,8.0,8.72,7.85,8.55,314251,EQ,135,2327.79,309890
2026-09-17,8.53,8.53,7.81,8.26,360061,EQ,184,1956.85,347333
2026-09-18,8.99,8.99,7.93,8.22,115275,EQ,140,823.39,109777
