Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,22.2,22.2,19.8,21.49,86937,EQ,409.0,212.56,73930.0
2026-08-18,21.49,22.0,20.5,21.34,36400,EQ,284.0,128.17,25380.0
2026-08-19,21.34,21.51,21.01,21.2,60106,EQ,188.0,319.71,56510.0
2026-08-20,21.3,21.38,21.0,21.17,46548,EQ,232.0,200.64,35250.0
2026-08-21,21.05,21.44,21.05,21.12,54020,EQ,261.0,206.97,40447.0
2026-08-24,21.17,21.65,19.24,20.43,226003,EQ,973.0,232.27,156751.0
2026-08-25,19.8,20.95,19.8,20.52,166713,EQ,438.0,380.62,110050.0
2026-08-26,20.99,21.75,20.1,20.36,1085836,EQ,1888.0,575.12,629208.0
2026-08-27,20.4,21.0,17.44,20.82,1744484,EQ,2494.0,699.47,767859.0
2026-08-28,20.82,22.49,19.41,19.94,480486,EQ,1193.0,402.75,283248.0
2026-08-31,20.5,20.5,19.56,19.73,319595,EQ,495.0,645.65,264566.0
2026-09-01,19.75,19.97,19.2,19.39,133778,EQ,481.0,278.12,72054.0
2026-09-02,19.47,19.47,18.81,18.95,171123,EQ,630.0,271.62,116618.0
2026-09-03,19.13,19.7,19.0,19.28,1662009,EQ,447.0,3718.14,1573336.0
2026-09-04,19.4,19.9,18.52,19.13,1290374,EQ,1060.0,1217.33,1124762.0
2026-09-07,19.6,19.99,19.33,19.85,252002,EQ,661.0,381.24,146705.0
2026-09-08,20.0,20.13,19.66,19.97,346036,EQ,479.0,722.41,295110.0
2026-09-09,20.37,20.59,19.67,19.88,641192,EQ,1483.0,432.36,194211.0
2026-09-10,20.24,20.24,19.41,19.7,89734,EQ,359.0,249.96,67735.0
2026-09-11,19.79,19.99,18.8,19.22,324963,EQ,799.0,406.71,176322.0
2026-09-15,19.02,19.51,18.5,18.74,297628,EQ,829.0,359.02,173696.0
2026-09-16,18.8,19.29,18.01,18.51,194145,EQ,723,268.53,124717
2026-09-17,18.5,19.08,18.32,18.55,146625,EQ,438,334.76,103785
2026-09-18,18.55,19.9,17.75,19.3,2904804,EQ,7086,409.94,510188
