Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,60.79,63.0,55.05,62.99,878,EQ,16.0,54.88,632.0
2026-08-18,59.0,62.99,58.0,60.94,2387,EQ,34.0,70.21,1653.0
2026-08-19,60.5,62.9,59.75,60.0,894,EQ,16.0,55.88,883.0
2026-08-20,61.79,62.0,60.05,61.92,1183,EQ,37.0,31.97,1083.0
2026-08-21,62.0,63.99,61.15,61.71,3660,EQ,119.0,30.76,2602.0
2026-08-24,63.35,63.35,61.5,62.0,226,EQ,14.0,16.14,215.0
2026-08-25,62.7,62.7,60.66,60.74,250,EQ,16.0,15.62,225.0
2026-08-26,48.6,63.49,48.6,58.31,1311,EQ,38.0,34.5,902.0
2026-08-27,62.89,62.89,59.1,59.5,662,EQ,16.0,41.38,662.0
2026-08-28,61.99,61.99,56.45,61.79,479,EQ,27.0,17.74,450.0
2026-08-31,63.8,65.0,60.0,60.46,1196,EQ,36.0,33.22,673.0
2026-09-01,58.91,61.5,58.91,59.99,1424,EQ,30.0,47.47,1369.0
2026-09-02,59.99,60.0,58.05,59.99,515,EQ,35.0,14.71,505.0
2026-09-03,60.0,60.0,59.25,59.66,1673,EQ,30.0,55.77,1673.0
2026-09-04,59.66,60.0,58.26,58.38,115,EQ,10.0,11.5,110.0
2026-09-07,58.62,61.1,58.5,60.46,726,EQ,65.0,11.17,716.0
2026-09-08,60.5,62.0,57.03,61.79,232,EQ,12.0,19.33,163.0
2026-09-09,58.56,61.5,58.56,59.37,928,EQ,19.0,48.84,928.0
2026-09-10,62.8,62.8,58.6,58.9,533,EQ,16.0,33.31,472.0
2026-09-11,58.7,60.05,58.5,59.99,664,EQ,24.0,27.67,551.0
2026-09-15,62.8,62.8,59.6,59.99,1364,EQ,39.0,34.97,1346.0
2026-09-16,65.0,65.0,59.0,62.3,1402,EQ,66,21.24,1163
2026-09-17,64.75,64.75,60.21,61.49,2226,EQ,57,39.05,1297
2026-09-18,61.5,62.93,60.68,61.0,788,EQ,34,23.18,753
