Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-31,127.5,127.88,126.96,127.24,131984,EQ,68.0,1940.94,115560.0
2026-08-03,130.42,132.0,128.04,130.7,61917,EQ,59.0,1049.44,60685.0
2026-08-04,130.75,152.55,127.2,142.82,124313,EQ,165.0,753.41,108293.0
2026-08-05,133.77,134.85,130.01,132.67,48940,EQ,585.0,83.66,25586.0
2026-08-06,132.68,132.95,131.28,132.02,45508,EQ,218.0,208.75,35814.0
2026-08-07,131.11,132.2,130.8,131.8,353045,EQ,236.0,1495.95,350776.0
2026-08-10,132.0,132.77,131.77,132.14,12415,EQ,79.0,157.15,7746.0
2026-08-11,132.43,132.92,130.85,131.09,87463,EQ,66.0,1325.2,76436.0
2026-08-12,131.49,133.82,131.03,131.46,27865,EQ,95.0,293.32,15888.0
2026-08-13,131.46,131.46,129.9,130.06,75357,EQ,184.0,409.55,58124.0
2026-08-14,129.06,129.96,128.33,129.87,6963,EQ,78.0,89.27,2636.0
2026-08-17,129.87,134.25,129.36,131.79,10177,EQ,58.0,175.47,7300.0
2026-08-18,131.18,131.18,130.14,130.47,44618,EQ,55.0,811.24,43552.0
2026-08-19,129.88,130.8,128.52,130.07,53424,EQ,51.0,1047.53,50470.0
2026-08-20,130.72,131.53,130.0,130.43,62596,EQ,39.0,1605.03,60819.0
2026-08-21,131.73,132.21,131.3,131.78,57726,EQ,149.0,387.42,55438.0
2026-08-24,130.45,133.5,130.45,133.13,60054,EQ,104.0,577.44,51268.0
2026-08-25,133.11,133.12,132.28,133.08,1676,EQ,43.0,38.98,471.0
2026-08-26,133.74,135.52,132.75,135.19,9028,EQ,85.0,106.21,6916.0
2026-08-27,136.06,136.06,132.79,133.2,5924,EQ,78.0,75.95,4056.0
2026-08-28,134.74,134.96,133.96,134.3,23694,EQ,52.0,455.65,22022.0
2026-08-31,134.24,134.24,131.98,132.29,23975,EQ,121.0,198.14,22017.0
2026-09-01,132.39,133.39,131.16,131.69,32828,EQ,76.0,431.95,31310.0
2026-09-02,132.34,132.34,130.4,131.19,22753,EQ,83.0,274.13,21657.0
2026-09-03,132.4,133.23,130.71,131.49,3029,EQ,85.0,35.64,2215.0
2026-09-04,131.73,133.99,131.5,133.56,46678,EQ,163.0,286.37,39372.0
2026-09-07,133.01,133.28,131.1,131.56,30510,EQ,168.0,181.61,29575.0
2026-09-08,132.19,132.71,131.0,131.8,2236,EQ,86.0,26.0,1326.0
2026-09-09,132.17,134.27,131.98,133.99,36595,EQ,141.0,259.54,33753.0
2026-09-10,137.33,137.33,132.71,133.04,3912,EQ,90.0,43.47,2847.0
2026-09-11,130.21,130.7,129.03,130.37,12438,EQ,196.0,63.46,4540.0
2026-09-15,130.37,143.4,126.5,136.31,4153,EQ,123.0,33.76,2278.0
2026-09-16,130.7,130.7,125.73,127.21,141137,EQ,496,284.55,99701
2026-09-17,127.21,128.76,127.21,128.33,20678,EQ,142,145.62,17952
2026-09-18,128.33,130.05,128.33,129.9,15389,EQ,84,183.2,12187
