Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,335.55,335.55,335.55,335.55,6463,EQ,61.0,105.95,6463.0
2026-08-18,372.9,402.65,361.0,385.45,246790,EQ,6139.0,40.2,59862.0
2026-08-19,389.4,394.0,366.55,369.95,30491,EQ,1120.0,27.22,17513.0
2026-08-20,372.65,373.95,342.0,351.0,20039,EQ,978.0,20.49,11142.0
2026-08-21,350.15,360.7,350.15,354.45,5244,EQ,286.0,18.34,3186.0
2026-08-24,354.5,360.95,353.7,356.05,4674,EQ,192.0,24.34,3354.0
2026-08-25,360.3,360.3,349.55,352.6,4266,EQ,207.0,20.61,2733.0
2026-08-26,354.25,365.45,350.05,353.9,3516,EQ,215.0,16.35,1971.0
2026-08-27,359.0,359.0,349.05,350.4,2720,EQ,138.0,19.71,1798.0
2026-08-28,352.7,355.4,344.0,349.05,1895,EQ,127.0,14.92,1355.0
2026-08-31,348.45,353.8,347.0,347.8,1233,EQ,54.0,22.83,848.0
2026-09-01,348.05,357.45,345.0,346.1,2683,EQ,135.0,19.87,1920.0
2026-09-02,348.9,365.0,347.9,359.5,2619,EQ,179.0,14.63,2127.0
2026-09-03,365.0,374.0,359.5,370.85,2354,EQ,117.0,20.12,1880.0
2026-09-04,383.75,383.75,363.25,370.9,517,EQ,52.0,9.94,495.0
2026-09-07,377.9,377.9,353.05,361.25,1441,EQ,167.0,8.63,942.0
2026-09-08,357.75,372.65,357.75,363.7,744,EQ,110.0,6.76,574.0
2026-09-09,363.7,374.45,357.0,367.2,1390,EQ,71.0,19.58,1134.0
2026-09-10,365.0,372.75,362.0,365.3,1601,EQ,163.0,9.82,1362.0
2026-09-11,365.3,370.9,345.25,369.1,3185,EQ,76.0,41.91,2208.0
2026-09-15,369.1,376.0,354.1,371.95,5611,EQ,158.0,35.51,5245.0
2026-09-16,384.0,384.0,364.0,378.45,3121,EQ,118,26.45,2714
2026-09-17,384.95,384.95,370.45,376.8,1555,EQ,126,12.34,1398
2026-09-18,376.0,379.7,372.0,374.9,2455,EQ,38,64.61,2253
