Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,106.95,106.95,98.0,99.17,1176,EQ,42.0,28.0,929.0
2026-08-18,107.5,107.5,98.0,98.95,3908,EQ,114.0,34.28,3291.0
2026-08-19,101.9,101.9,96.51,98.46,2867,EQ,138.0,20.78,2394.0
2026-08-20,96.0,99.9,96.0,98.81,2283,EQ,85.0,26.86,1604.0
2026-08-21,100.0,103.0,98.02,98.18,2375,EQ,68.0,34.93,1826.0
2026-08-24,98.0,101.26,98.0,100.16,7966,EQ,131.0,60.81,7165.0
2026-08-25,100.0,100.0,98.01,98.72,888,EQ,56.0,15.86,601.0
2026-08-26,99.21,101.0,98.51,99.88,3167,EQ,108.0,29.32,2295.0
2026-08-27,98.0,99.87,97.95,97.99,1724,EQ,53.0,32.53,1418.0
2026-08-28,97.51,100.0,97.51,99.76,895,EQ,36.0,24.86,490.0
2026-08-31,96.25,100.75,96.25,97.39,14308,EQ,136.0,105.21,12412.0
2026-09-01,97.0,100.5,95.0,97.8,21225,EQ,182.0,116.62,17165.0
2026-09-02,99.0,100.0,97.0,97.32,5519,EQ,106.0,52.07,2526.0
2026-09-03,97.32,99.79,97.32,97.5,953,EQ,47.0,20.28,625.0
2026-09-04,97.0,100.7,95.2,97.43,3024,EQ,128.0,23.62,2229.0
2026-09-07,93.45,97.5,93.45,96.25,1737,EQ,113.0,15.37,981.0
2026-09-08,100.5,100.5,94.5,97.9,4275,EQ,135.0,31.67,3146.0
2026-09-09,97.95,97.95,96.35,97.38,531,EQ,45.0,11.8,441.0
2026-09-10,99.0,99.0,96.1,96.57,1213,EQ,62.0,19.56,763.0
2026-09-11,97.0,98.99,95.1,96.18,2716,EQ,131.0,20.73,1348.0
2026-09-15,98.0,98.99,93.46,95.09,2235,EQ,148.0,15.1,1495.0
2026-09-16,97.0,97.0,92.0,93.83,2229,EQ,118,18.89,1797
2026-09-17,94.76,95.2,89.0,93.7,4653,EQ,225,20.68,3748
2026-09-18,95.5,96.0,92.05,94.27,1778,EQ,97,18.33,1259
