Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-24,60.25,60.25,56.57,58.16,93536375,EQ,197832.0,472.81,47592719.0
2026-08-25,59.0,59.79,55.15,55.6,8930228,EQ,53428.0,167.15,4334958.0
2026-08-26,55.9,57.49,55.13,56.78,7729723,EQ,32717.0,236.26,3874574.0
2026-08-27,55.51,57.5,55.51,56.78,4091943,EQ,20326.0,201.32,2148718.0
2026-08-28,56.78,58.7,56.6,58.05,6908806,EQ,26446.0,261.24,3466431.0
2026-08-31,55.55,58.05,55.0,56.89,7670563,EQ,20863.0,367.66,4119933.0
2026-09-01,56.9,58.3,55.11,55.37,5863251,EQ,27457.0,213.54,3179855.0
2026-09-02,55.57,57.25,53.75,56.57,11684390,EQ,49482.0,236.13,5983174.0
2026-09-03,56.71,57.19,55.01,55.69,6343272,EQ,28939.0,219.19,3650281.0
2026-09-04,55.49,55.99,54.6,55.13,6411837,EQ,22902.0,279.97,3551292.0
2026-09-07,55.25,55.78,54.54,54.85,3005572,EQ,24535.0,122.5,1633493.0
2026-09-08,54.82,55.74,54.25,55.54,2922955,EQ,28057.0,104.18,1759567.0
2026-09-09,55.05,56.8,54.98,55.67,3383047,EQ,34091.0,99.24,1878544.0
2026-09-10,55.5,56.15,54.99,55.55,1975842,EQ,8504.0,232.34,1182618.0
2026-09-11,55.0,55.89,53.75,55.67,3566247,EQ,12951.0,275.36,1620460.0
2026-09-15,56.1,56.55,53.1,53.59,3996553,EQ,13425.0,297.69,2434143.0
2026-09-16,53.58,53.9,52.46,52.91,2695151,EQ,12697,212.27,1636056
2026-09-17,52.9,53.2,52.0,52.17,1812188,EQ,10075,179.87,1019776
2026-09-18,51.9,54.5,51.89,54.23,2786457,EQ,12343,225.75,1432425
