Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,100.95,101.0,100.95,101.0,53,EQ,2.0,26.5,53.0
2026-08-18,101.0,104.0,100.9,101.78,1931,EQ,37.0,52.19,1688.0
2026-08-19,104.0,104.05,99.0,99.01,1402,EQ,42.0,33.38,1347.0
2026-08-20,104.0,104.0,101.0,101.0,381,EQ,27.0,14.11,365.0
2026-08-21,99.05,103.49,96.0,99.86,3631,EQ,94.0,38.63,2559.0
2026-08-24,99.86,103.0,99.86,100.05,652,EQ,31.0,21.03,604.0
2026-08-25,100.16,100.16,99.0,100.0,3672,EQ,58.0,63.31,3671.0
2026-08-26,102.99,102.99,99.0,102.49,2963,EQ,49.0,60.47,2801.0
2026-08-27,101.98,101.98,91.0,99.86,314,EQ,32.0,9.81,274.0
2026-08-28,102.85,102.85,99.9,99.9,22,EQ,5.0,4.4,21.0
2026-08-31,102.99,102.99,99.9,102.67,830,EQ,33.0,25.15,460.0
2026-09-01,102.65,102.68,97.8,100.05,1116,EQ,52.0,21.46,911.0
2026-09-02,100.05,102.78,100.0,102.0,395,EQ,13.0,30.38,345.0
2026-09-03,101.95,101.95,99.0,100.75,788,EQ,55.0,14.33,686.0
2026-09-04,99.0,102.0,99.0,101.36,434,EQ,46.0,9.43,393.0
2026-09-07,101.86,101.86,98.5,100.98,278,EQ,35.0,7.94,211.0
2026-09-08,101.98,101.98,96.0,100.62,878,EQ,54.0,16.26,766.0
2026-09-09,102.5,102.5,98.11,99.95,784,EQ,45.0,17.42,775.0
2026-09-10,101.55,102.0,98.32,99.32,1274,EQ,53.0,24.04,775.0
2026-09-11,99.32,100.95,98.0,100.84,957,EQ,35.0,27.34,922.0
2026-09-15,100.1,101.0,95.99,96.38,1212,EQ,48.0,25.25,1159.0
2026-09-16,96.86,100.0,96.1,100.0,68,EQ,10,6.8,67
2026-09-17,101.9,101.9,96.0,97.5,1654,EQ,56,29.54,1559
2026-09-18,97.55,101.25,96.1,97.19,1604,EQ,78,20.56,1415
