Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-01,75.0,78.75,71.25,78.75,10216470,BE,37463.0,272.71,10216470.0
2026-09-02,76.8,81.4,75.25,78.55,4060604,BE,20499.0,198.09,4060604.0
2026-09-03,77.0,77.9,74.63,74.73,2290257,BE,11873.0,192.9,2290257.0
2026-09-04,74.5,75.9,71.1,73.65,1652363,BE,8570.0,192.81,1652363.0
2026-09-07,73.4,75.45,72.0,73.25,1163441,BE,5586.0,208.28,1163441.0
2026-09-08,73.0,75.08,72.0,73.96,1164694,BE,4492.0,259.28,1164694.0
2026-09-09,74.74,77.65,73.5,77.65,1719401,BE,5909.0,290.98,1719401.0
2026-09-10,81.53,81.53,81.53,81.53,538142,BE,1728.0,311.42,538142.0
2026-09-11,85.6,85.6,80.0,85.6,3058271,BE,7871.0,388.55,3058271.0
2026-09-15,83.6,86.45,81.32,81.32,1461646,BE,4537.0,322.16,1461646.0
2026-09-16,78.4,78.4,71.79,74.21,3861012,EQ,15829,243.92,1738693
2026-09-17,75.71,76.7,68.22,72.05,3416086,EQ,32683,104.52,1303710
2026-09-18,73.75,79.38,71.26,76.77,3939738,EQ,36584,107.69,1395391
