Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-31,10.02,10.05,10.02,10.03,24334,EQ,39.0,623.95,24334.0
2026-08-03,10.28,10.28,10.04,10.06,42360,EQ,90.0,470.67,41480.0
2026-08-04,10.26,10.26,10.08,10.09,32764,EQ,62.0,528.45,32761.0
2026-08-05,10.29,10.29,10.11,10.12,63919,EQ,44.0,1452.7,61917.0
2026-08-06,10.12,10.14,10.1,10.14,9013,EQ,36.0,250.36,8813.0
2026-08-07,10.24,10.24,10.11,10.12,119799,EQ,71.0,1687.31,119799.0
2026-08-10,10.13,10.2,10.13,10.18,8194,EQ,22.0,372.45,8194.0
2026-08-11,10.19,10.19,10.14,10.17,10962,EQ,43.0,254.93,10962.0
2026-08-12,10.15,10.19,10.14,10.19,6005,EQ,22.0,272.95,5028.0
2026-08-13,10.29,10.29,10.11,10.18,144384,EQ,40.0,3609.6,143961.0
2026-08-14,10.18,10.18,10.14,10.16,139004,EQ,57.0,2438.67,134350.0
2026-08-17,10.15,10.17,10.13,10.17,136794,EQ,49.0,2791.71,128000.0
2026-08-18,10.22,10.22,10.13,10.13,15329,EQ,49.0,312.84,15329.0
2026-08-19,10.13,11.99,9.93,10.06,224209,EQ,140.0,1601.49,100031.0
2026-08-20,10.13,10.13,10.07,10.11,5253,EQ,28.0,187.61,4850.0
2026-08-21,10.11,10.12,10.07,10.07,80114,EQ,56.0,1430.61,76388.0
2026-08-24,10.27,10.27,9.8,10.13,165291,EQ,69.0,2395.52,76256.0
2026-08-25,10.33,10.35,9.87,10.15,13406,EQ,63.0,212.79,13406.0
2026-08-26,10.15,10.21,10.15,10.21,184574,EQ,33.0,5593.15,176640.0
2026-08-27,10.23,10.23,10.16,10.19,29112,EQ,52.0,559.85,29103.0
2026-08-28,10.24,10.24,10.15,10.19,18329,EQ,58.0,316.02,18179.0
2026-08-31,10.29,10.29,10.08,10.11,23784,EQ,95.0,250.36,20856.0
2026-09-01,10.16,10.16,10.05,10.05,23371,EQ,80.0,292.14,23369.0
2026-09-02,10.05,10.05,10.0,10.03,62333,EQ,60.0,1038.88,62333.0
2026-09-03,10.07,10.07,10.06,10.07,5867,EQ,20.0,293.35,5867.0
2026-09-04,10.27,10.27,10.03,10.03,41052,EQ,97.0,423.22,27817.0
2026-09-07,10.25,10.25,10.03,10.05,7834,EQ,86.0,91.09,6710.0
2026-09-08,10.08,10.1,10.05,10.07,7198,EQ,43.0,167.4,4672.0
2026-09-09,10.12,10.15,10.06,10.12,29314,EQ,61.0,480.56,27279.0
2026-09-10,10.08,10.39,10.05,10.09,12382,EQ,43.0,287.95,11000.0
2026-09-11,10.19,10.19,9.98,10.04,214733,EQ,72.0,2982.4,204013.0
2026-09-15,10.04,10.04,9.85,9.86,94732,EQ,185.0,512.06,94674.0
2026-09-16,9.9,9.9,9.8,9.88,21981,EQ,63,348.9,14038
2026-09-17,9.97,9.97,9.87,9.94,19385,EQ,46,421.41,18561
2026-09-18,9.94,10.0,9.94,10.0,38244,EQ,36,1062.33,10443
