Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-28,66.05,69.35,66.05,69.35,476000,ST,436.0,1091.74,476000.0
2024-08-29,72.8,72.8,69.35,72.8,668000,ST,493.0,1354.97,625000.0
2024-08-30,69.15,72.0,69.15,70.45,337000,ST,267.0,1262.17,324000.0
2024-09-02,71.5,71.5,66.9,66.9,98000,ST,80.0,1225.0,97000.0
2024-09-03,63.6,63.6,63.6,63.6,23000,ST,23.0,1000.0,23000.0
2024-09-04,60.4,62.5,60.4,60.4,217000,ST,174.0,1247.13,168000.0
2024-09-05,57.4,60.4,57.4,57.4,231000,ST,160.0,1443.75,218000.0
2024-09-06,54.75,57.4,54.55,54.55,68000,ST,60.0,1133.33,67000.0
2024-09-09,51.8,51.8,51.8,51.8,27000,ST,19.0,1421.05,27000.0
2024-09-10,49.25,54.4,49.25,54.4,168000,ST,125.0,1344.0,162000.0
2024-09-11,57.5,63.0,57.5,58.1,374000,SM,334.0,1119.76,216000.0
2024-09-12,58.25,58.25,51.25,52.25,101000,SM,91.0,1109.89,69000.0
2024-09-13,54.5,54.5,51.3,52.0,80000,SM,77.0,1038.96,42000.0
2024-09-16,52.0,52.0,48.15,50.1,43000,SM,41.0,1048.78,30000.0
2024-09-17,50.5,52.5,48.75,51.7,47000,SM,44.0,1068.18,42000.0
2024-09-18,51.0,51.0,49.6,50.0,30000,SM,30.0,1000.0,27000.0
2024-09-19,51.0,51.0,48.55,49.6,13000,SM,13.0,1000.0,12000.0
2024-09-20,52.25,52.25,49.4,49.7,25000,SM,25.0,1000.0,17000.0
2024-09-23,50.0,50.1,49.0,49.05,26000,SM,22.0,1181.82,21000.0
2024-09-24,48.3,48.95,47.5,48.65,35000,SM,35.0,1000.0,27000.0
2024-09-25,49.2,49.55,48.65,49.25,10000,SM,10.0,1000.0,8000.0
2024-09-26,50.0,50.45,47.75,49.0,9000,SM,9.0,1000.0,6000.0
2024-09-27,49.5,50.25,48.0,48.5,14000,SM,12.0,1166.67,11000.0
2024-09-30,48.25,50.25,47.5,49.75,12000,SM,12.0,1000.0,10000.0
2024-10-01,50.0,50.5,49.0,49.95,16000,SM,16.0,1000.0,16000.0
2024-10-03,49.5,49.75,45.75,47.9,66000,SM,33.0,2000.0,60000.0
2024-10-04,48.5,49.75,48.0,48.4,12000,SM,12.0,1000.0,9000.0
2024-10-07,49.5,50.25,46.6,46.6,31000,SM,31.0,1000.0,21000.0
2024-10-08,46.0,49.5,46.0,48.5,26000,SM,25.0,1040.0,19000.0
2024-10-09,54.5,54.5,48.9,48.9,23000,SM,23.0,1000.0,17000.0
2024-10-10,48.9,49.25,48.55,48.55,12000,SM,8.0,1500.0,12000.0
2024-10-11,48.05,48.1,48.05,48.1,2000,SM,2.0,1000.0,2000.0
2024-10-14,46.9,48.0,46.85,48.0,10000,SM,10.0,1000.0,8000.0
2024-10-15,48.0,49.25,46.5,48.5,14000,SM,13.0,1076.92,14000.0
2024-10-16,47.6,49.25,47.3,47.5,16000,SM,16.0,1000.0,10000.0
2024-10-17,47.5,47.5,46.5,46.5,5000,SM,5.0,1000.0,5000.0
2024-10-18,47.8,47.9,46.5,47.9,8000,SM,8.0,1000.0,5000.0
2024-10-21,47.9,49.0,47.0,47.0,8000,SM,8.0,1000.0,6000.0
2024-10-22,47.5,47.5,45.5,45.5,10000,SM,9.0,1111.11,10000.0
2024-10-23,44.75,47.5,44.75,45.5,17000,SM,15.0,1133.33,14000.0
2024-10-24,47.5,50.0,46.5,48.1,31000,SM,29.0,1068.97,25000.0
2024-10-25,48.1,49.5,46.0,48.1,19000,SM,18.0,1055.56,13000.0
2024-10-28,47.5,47.5,46.25,46.5,6000,SM,6.0,1000.0,4000.0
2024-10-29,47.5,47.5,46.5,47.25,3000,SM,3.0,1000.0,2000.0
2024-10-30,47.5,47.5,46.0,46.3,14000,SM,12.0,1166.67,10000.0
2024-10-31,47.5,47.5,45.0,45.5,5000,SM,5.0,1000.0,5000.0
2024-11-01,47.0,50.5,46.05,48.25,40000,SM,38.0,1052.63,27000.0
2024-11-04,47.25,47.25,46.5,46.5,2000,SM,2.0,1000.0,2000.0
2024-11-05,46.55,48.15,45.65,48.0,7000,SM,7.0,1000.0,5000.0
2024-11-06,48.0,48.0,47.05,47.1,9000,SM,8.0,1125.0,6000.0
2024-11-07,47.05,47.5,46.0,47.35,8000,SM,8.0,1000.0,8000.0
2024-11-08,48.0,48.0,46.25,46.7,8000,SM,8.0,1000.0,6000.0
2024-11-11,46.0,46.0,44.0,45.25,26000,SM,23.0,1130.43,18000.0
2024-11-12,45.5,50.0,45.5,49.65,29000,SM,26.0,1115.38,27000.0
2024-11-13,50.0,51.15,46.8,50.5,33000,SM,21.0,1571.43,30000.0
2024-11-14,50.5,50.5,47.75,49.9,6000,SM,6.0,1000.0,4000.0
2024-11-18,49.9,53.75,49.9,52.95,17000,SM,17.0,1000.0,17000.0
2024-11-19,52.4,54.0,52.25,52.4,27000,SM,26.0,1038.46,22000.0
2024-11-21,52.75,53.5,51.5,51.9,16000,SM,16.0,1000.0,15000.0
2024-11-22,52.3,53.5,52.3,52.5,6000,SM,6.0,1000.0,5000.0
2024-11-25,52.75,53.25,52.5,53.2,5000,SM,5.0,1000.0,5000.0
2024-11-26,53.3,53.3,53.05,53.1,6000,SM,6.0,1000.0,6000.0
2024-11-27,52.5,53.5,52.5,52.5,10000,SM,8.0,1250.0,10000.0
2024-11-28,53.0,53.5,53.0,53.5,7000,SM,7.0,1000.0,7000.0
2024-11-29,53.05,53.5,49.5,53.45,18000,SM,16.0,1125.0,16000.0
