Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-09,97.0,98.48,93.6,96.81,345985,EQ,3632,95.26,240046
2026-03-10,98.01,101.98,97.0,100.0,443208,EQ,4821,91.93,263357
2026-03-11,101.4,104.9,99.54,100.21,496839,EQ,3524,140.99,312453
2026-03-12,101.35,101.9,97.0,98.02,442673,EQ,3106,142.52,301122
2026-03-13,96.56,99.69,93.0,95.23,460671,EQ,7177,64.19,237819
2026-03-16,97.2,98.65,91.11,91.97,1077294,EQ,9146,117.79,754765
2026-03-17,92.89,96.2,92.4,93.2,620688,EQ,3844,161.47,407900
2026-03-18,94.6,103.5,93.77,100.45,1017526,EQ,6520,156.06,597571
2026-03-19,98.0,101.29,95.55,96.2,440496,EQ,5196,84.78,190521
2026-03-20,97.47,103.99,97.47,101.3,917979,EQ,4460,205.82,709686
