Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,610.0,610.0,588.25,590.55,2117,EQ,173.0,12.24,1904.0
2026-08-18,640.0,640.0,572.0,585.5,3563,EQ,201.0,17.73,2624.0
2026-08-19,585.5,601.0,560.0,587.35,3093,EQ,383.0,8.08,1956.0
2026-08-20,587.55,594.55,585.2,590.4,769,EQ,107.0,7.19,430.0
2026-08-21,609.7,609.7,589.9,600.85,2565,EQ,105.0,24.43,2201.0
2026-08-24,595.0,598.9,575.2,597.9,1273,EQ,147.0,8.66,739.0
2026-08-25,599.9,657.0,582.0,627.85,17940,EQ,950.0,18.88,10441.0
2026-08-26,624.75,635.0,607.0,624.0,1718,EQ,189.0,9.09,1091.0
2026-08-27,607.0,635.0,607.0,610.85,1758,EQ,156.0,11.27,1542.0
2026-08-28,611.0,634.95,608.0,617.85,1353,EQ,217.0,6.24,771.0
2026-08-31,639.0,639.0,592.35,606.1,1374,EQ,144.0,9.54,1196.0
2026-09-01,610.0,624.0,600.05,607.45,3222,EQ,191.0,16.87,2878.0
2026-09-02,615.0,619.0,590.3,597.55,2412,EQ,179.0,13.47,1840.0
2026-09-03,587.05,657.0,587.05,628.7,13764,EQ,531.0,25.92,10444.0
2026-09-04,636.0,640.0,615.1,625.55,3809,EQ,244.0,15.61,2629.0
2026-09-07,639.0,645.0,630.05,636.35,4721,EQ,308.0,15.33,3132.0
2026-09-08,649.85,649.85,624.9,627.4,2468,EQ,179.0,13.79,1817.0
2026-09-09,630.0,632.0,615.5,623.45,2754,EQ,296.0,9.3,2056.0
2026-09-10,654.0,654.0,616.1,620.45,2599,EQ,204.0,12.74,1888.0
2026-09-11,617.0,620.0,603.0,613.85,3375,EQ,166.0,20.33,1569.0
2026-09-15,644.0,644.0,596.0,611.7,3603,EQ,326.0,11.05,2339.0
2026-09-16,614.75,625.0,555.0,606.55,9015,EQ,448,20.12,5691
2026-09-17,600.0,666.9,600.0,643.15,28640,EQ,1134,25.26,17859
2026-09-18,643.15,668.0,602.0,620.0,13991,EQ,838,16.7,8772
