Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-30,700.0,757.75,700.0,741.75,72703164,EQ,1512364.0,48.07,43954117.0
2026-07-31,735.0,815.9,725.0,776.15,27057625,EQ,498750.0,54.25,4243383.0
2026-08-03,776.0,802.7,765.0,770.15,7110886,EQ,243747.0,29.17,1398675.0
2026-08-04,773.0,779.7,750.5,769.4,3399506,EQ,88053.0,38.61,858101.0
2026-08-05,770.0,827.4,761.05,801.95,6332626,EQ,148649.0,42.6,1669867.0
2026-08-06,809.0,882.1,804.0,878.75,9644015,EQ,208912.0,46.16,2083159.0
2026-08-07,898.2,908.0,850.65,867.35,4341220,EQ,135288.0,32.09,1184235.0
2026-08-10,871.35,872.6,821.2,830.1,1932140,EQ,77778.0,24.84,608914.0
2026-08-11,831.0,844.7,816.35,821.8,1846394,EQ,59276.0,31.15,504774.0
2026-08-12,821.8,837.9,808.5,823.65,1315318,EQ,36453.0,36.08,344405.0
2026-08-13,830.0,859.3,825.0,831.4,1684210,EQ,72469.0,23.24,533581.0
2026-08-14,835.0,852.35,815.3,849.35,1678600,EQ,47858.0,35.07,583698.0
2026-08-17,850.4,871.15,838.7,866.15,2085481,EQ,80557.0,25.89,806964.0
2026-08-18,910.0,952.75,905.0,952.75,10246021,EQ,143239.0,71.53,3555515.0
2026-08-19,965.2,989.9,936.65,967.95,6583796,EQ,200939.0,32.77,1574684.0
2026-08-20,965.0,965.0,907.3,919.55,3493814,EQ,118219.0,29.55,1161784.0
2026-08-21,919.0,919.0,877.0,882.1,2403140,EQ,83199.0,28.88,808447.0
2026-08-24,884.05,913.8,880.55,888.75,2091773,EQ,65434.0,31.97,733939.0
2026-08-25,890.0,909.0,878.0,889.9,1819819,EQ,51453.0,35.37,610265.0
2026-08-26,891.0,923.9,882.0,895.75,3068907,EQ,77197.0,39.75,1178186.0
2026-08-27,893.0,924.45,871.2,877.5,1723758,EQ,48199.0,35.76,609294.0
2026-08-28,881.7,892.0,864.45,868.05,1086896,EQ,35935.0,30.25,508301.0
2026-08-31,868.05,883.0,854.75,875.45,1025680,EQ,30427.0,33.71,360765.0
2026-09-01,875.45,878.35,846.9,858.85,687363,EQ,24286.0,28.3,273698.0
2026-09-02,856.0,892.0,839.05,888.0,2583002,EQ,65987.0,39.14,978887.0
2026-09-03,899.9,933.0,888.2,922.4,2885760,EQ,74105.0,38.94,1143296.0
2026-09-04,926.0,983.6,926.0,971.5,4512815,EQ,135739.0,33.25,1537302.0
2026-09-07,973.9,976.95,941.75,946.7,1601278,EQ,77095.0,20.77,578911.0
2026-09-08,951.0,989.0,943.75,968.95,2185054,EQ,72778.0,30.02,595545.0
2026-09-09,968.95,998.0,947.75,984.55,1874991,EQ,49936.0,37.55,670566.0
2026-09-10,996.0,1028.5,996.0,1006.55,3303971,EQ,91911.0,35.95,811552.0
2026-09-11,995.0,1024.5,978.75,1018.2,1564591,EQ,50325.0,31.09,359072.0
2026-09-15,1026.0,1026.0,960.1,975.65,1440023,EQ,56087.0,25.67,557595.0
2026-09-16,970.0,970.1,922.55,946.1,2684652,EQ,145258,18.48,1187191
2026-09-17,955.0,1008.0,946.1,993.2,2152019,EQ,78483,27.42,703203
2026-09-18,999.0,1064.0,990.5,1055.9,3925761,EQ,136840,28.69,1325993
