Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-05,16.28,16.28,15.7,15.73,34855,EQ,132.0,264.05,34195.0
2026-08-06,15.73,16.46,15.55,15.6,684822,EQ,162.0,4227.3,668117.0
2026-08-07,15.85,15.85,15.47,15.52,3292526,EQ,331.0,9947.21,3276538.0
2026-08-10,15.67,15.76,15.33,15.49,3142732,EQ,379.0,8292.17,3102260.0
2026-08-11,15.52,15.6,15.34,15.47,3077696,EQ,258.0,11929.05,2950023.0
2026-08-12,15.47,15.98,15.41,15.52,47724,EQ,104.0,458.88,32503.0
2026-08-13,15.48,15.48,15.35,15.42,144334,EQ,166.0,869.48,115210.0
2026-08-14,15.42,15.51,15.35,15.47,55403,EQ,87.0,636.82,45842.0
2026-08-17,15.85,15.85,15.37,15.52,464709,EQ,108.0,4302.86,451324.0
2026-08-18,15.48,15.59,15.4,15.51,34980,EQ,92.0,380.22,27970.0
2026-08-19,15.42,15.74,15.32,15.47,116173,EQ,143.0,812.4,89303.0
2026-08-20,15.47,15.64,15.43,15.49,21523,EQ,54.0,398.57,14191.0
2026-08-21,15.49,15.65,15.41,15.63,30258,EQ,62.0,488.03,18774.0
2026-08-24,15.63,15.67,15.51,15.51,689503,EQ,134.0,5145.54,675774.0
2026-08-25,15.49,15.61,15.36,15.44,5273127,EQ,227.0,23229.63,4989275.0
2026-08-26,15.57,15.65,15.43,15.54,1223304,EQ,345.0,3545.81,916537.0
2026-08-27,15.68,15.68,15.45,15.49,489470,EQ,179.0,2734.47,456634.0
2026-08-28,15.4,16.06,15.27,15.35,3357020,EQ,316.0,10623.48,3202687.0
2026-08-31,15.32,15.35,15.22,15.3,708490,EQ,192.0,3690.05,649488.0
2026-09-01,15.3,15.75,15.15,15.43,586610,EQ,305.0,1923.31,385107.0
2026-09-02,15.43,15.43,15.0,15.1,2499345,EQ,371.0,6736.78,2452235.0
2026-09-03,15.12,15.2,15.0,15.04,402930,EQ,165.0,2442.0,388975.0
2026-09-04,15.06,15.33,15.05,15.23,402017,EQ,138.0,2913.17,220128.0
2026-09-07,15.32,15.32,15.05,15.06,468531,EQ,244.0,1920.21,324709.0
2026-09-08,15.13,15.14,14.93,14.98,272822,EQ,237.0,1151.15,255295.0
2026-09-09,14.96,14.96,14.67,14.72,233503,EQ,306.0,763.08,204986.0
2026-09-10,14.7,14.85,14.6,14.77,115430,EQ,195.0,591.95,101216.0
2026-09-11,14.75,14.83,14.6,14.76,143136,EQ,140.0,1022.4,115482.0
2026-09-15,14.76,14.77,14.39,14.48,646486,EQ,419.0,1542.93,580961.0
2026-09-16,14.48,14.89,14.36,14.73,479614,EQ,181,2649.8,356252
2026-09-17,14.72,15.31,14.69,15.09,1516024,EQ,190,7979.07,961697
2026-09-18,15.13,15.21,15.09,15.11,308060,EQ,128,2406.72,198412
