Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,675.0,675.0,650.05,666.9,86,EQ,16.0,5.38,80.0
2026-08-18,660.0,660.0,650.0,652.2,51,EQ,14.0,3.64,51.0
2026-08-19,645.65,650.25,636.6,637.1,326,EQ,22.0,14.82,326.0
2026-08-20,737.5,749.95,645.0,667.1,3071,EQ,204.0,15.05,1337.0
2026-08-21,670.4,682.65,660.0,674.8,339,EQ,49.0,6.92,240.0
2026-08-24,675.0,738.6,660.65,664.25,1500,EQ,128.0,11.72,1176.0
2026-08-25,688.0,688.25,657.05,671.45,370,EQ,73.0,5.07,292.0
2026-08-26,671.45,686.6,656.0,657.3,774,EQ,64.0,12.09,748.0
2026-08-27,660.0,670.0,651.0,668.9,354,EQ,38.0,9.32,265.0
2026-08-28,670.0,678.0,650.1,676.4,360,EQ,54.0,6.67,289.0
2026-08-31,676.4,676.4,632.6,645.55,1071,EQ,149.0,7.19,790.0
2026-09-01,640.0,669.3,605.0,646.15,854,EQ,90.0,9.49,650.0
2026-09-02,640.0,649.9,631.1,636.1,246,EQ,38.0,6.47,230.0
2026-09-03,637.0,660.0,636.0,659.55,713,EQ,69.0,10.33,574.0
2026-09-04,672.75,675.0,650.0,654.55,357,EQ,46.0,7.76,303.0
2026-09-07,655.0,702.15,643.55,654.9,1918,EQ,122.0,15.72,1591.0
2026-09-08,644.0,675.0,644.0,651.8,1022,EQ,70.0,14.6,640.0
2026-09-09,651.8,670.0,642.0,663.65,938,EQ,113.0,8.3,629.0
2026-09-10,672.9,672.9,641.0,661.0,851,EQ,68.0,12.51,579.0
2026-09-11,650.0,678.0,637.0,662.2,625,EQ,89.0,7.02,262.0
2026-09-15,662.2,662.2,635.0,661.2,311,EQ,42.0,7.4,236.0
2026-09-16,650.0,650.0,631.0,650.0,170,EQ,33,5.15,150
2026-09-17,650.0,687.9,650.0,683.9,1403,EQ,108,12.99,1287
2026-09-18,661.05,687.8,655.5,663.85,583,EQ,77,7.57,292
