Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,369.0,369.0,317.85,318.4,2135,EQ,62.0,34.44,2074.0
2026-08-18,327.0,327.0,312.85,320.05,1147,EQ,42.0,27.31,1136.0
2026-08-19,327.0,331.0,319.8,326.9,880,EQ,33.0,26.67,878.0
2026-08-20,326.9,326.9,311.1,317.85,1440,EQ,31.0,46.45,1440.0
2026-08-21,324.0,324.0,320.0,321.8,2714,EQ,51.0,53.22,2610.0
2026-08-24,333.0,375.0,326.2,365.05,21649,EQ,511.0,42.37,19631.0
2026-08-25,372.0,373.0,335.2,366.0,5383,EQ,280.0,19.23,4005.0
2026-08-26,373.5,373.5,353.5,364.0,1078,EQ,115.0,9.37,875.0
2026-08-27,356.0,372.0,354.95,367.2,2562,EQ,167.0,15.34,1732.0
2026-08-28,360.0,377.0,360.0,368.4,2845,EQ,70.0,40.64,2658.0
2026-08-31,376.0,376.0,351.1,372.6,2353,EQ,103.0,22.84,1688.0
2026-09-01,352.1,369.95,352.1,363.95,1366,EQ,53.0,25.77,1226.0
2026-09-02,373.0,373.0,358.05,363.2,852,EQ,67.0,12.72,711.0
2026-09-03,363.2,368.85,360.5,362.4,460,EQ,22.0,20.91,416.0
2026-09-04,370.0,370.0,358.5,364.55,558,EQ,43.0,12.98,480.0
2026-09-07,369.85,375.75,364.05,364.45,5110,EQ,95.0,53.79,4537.0
2026-09-08,362.65,370.0,358.4,369.65,3429,EQ,44.0,77.93,3309.0
2026-09-09,363.0,375.0,363.0,364.1,1725,EQ,96.0,17.97,1277.0
2026-09-10,364.1,372.95,362.05,368.3,2083,EQ,124.0,16.8,1372.0
2026-09-11,368.3,371.9,359.0,369.25,3944,EQ,74.0,53.3,3585.0
2026-09-15,378.95,378.95,366.0,367.5,412,EQ,66.0,6.24,312.0
2026-09-16,375.0,375.0,356.2,367.7,206,EQ,29,7.1,173
2026-09-17,370.0,371.4,360.0,362.5,411,EQ,47,8.74,248
2026-09-18,358.0,371.7,355.0,356.85,1046,EQ,103,10.16,819
