Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-21,57.67,57.67,57.46,57.47,2851,EQ,23.0,123.96,2845.0
2026-08-24,57.65,57.67,57.18,57.41,925,EQ,17.0,54.41,875.0
2026-08-25,57.33,57.45,57.26,57.44,453,EQ,11.0,41.18,424.0
2026-08-26,57.22,57.72,57.22,57.72,1735,EQ,4.0,433.75,1735.0
2026-08-27,57.72,57.72,57.66,57.66,178,EQ,3.0,59.33,178.0
2026-08-28,57.39,57.54,57.26,57.35,936,EQ,11.0,85.09,763.0
2026-08-31,57.28,57.45,57.05,57.28,2056,EQ,13.0,158.15,2029.0
2026-09-01,57.47,57.53,57.3,57.3,706,EQ,6.0,117.67,619.0
2026-09-02,58.45,58.45,56.9,57.0,982,EQ,13.0,75.54,929.0
2026-09-03,57.68,57.68,57.34,57.42,388,EQ,6.0,64.67,388.0
2026-09-04,57.39,57.56,57.35,57.56,1513,EQ,11.0,137.55,1513.0
2026-09-07,56.41,57.16,56.41,57.05,393,EQ,17.0,23.12,245.0
2026-09-08,56.77,56.95,56.7,56.8,1774,EQ,23.0,77.13,1585.0
2026-09-09,56.49,56.51,56.39,56.42,650,EQ,22.0,29.55,649.0
2026-09-10,56.42,56.42,56.22,56.22,298,EQ,12.0,24.83,298.0
2026-09-11,56.2,56.2,55.78,55.85,357,EQ,16.0,22.31,355.0
2026-09-15,56.37,56.45,55.7,55.71,10711,EQ,23.0,465.7,10633.0
2026-09-16,55.54,56.14,55.54,56.07,11194,EQ,14,799.57,11091
2026-09-17,56.26,56.29,55.94,55.99,962,EQ,10,96.2,960
2026-09-18,55.99,56.37,55.99,56.06,12191,EQ,9,1354.56,10238
