Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-21,76.96,77.81,76.95,77.77,1448,EQ,35.0,41.37,962.0
2026-08-24,77.57,77.57,77.11,77.45,1845,EQ,29.0,63.62,1375.0
2026-08-25,75.54,77.45,75.54,77.45,1950,EQ,19.0,102.63,1419.0
2026-08-26,76.04,78.09,76.04,77.55,3167,EQ,17.0,186.29,3026.0
2026-08-27,77.82,77.82,77.16,77.37,106,EQ,11.0,9.64,67.0
2026-08-28,76.24,79.2,76.22,79.2,10260,EQ,13.0,789.23,10245.0
2026-08-31,78.4,78.4,75.53,75.96,7330,EQ,84.0,87.26,5152.0
2026-09-01,76.86,77.3,76.35,76.35,1301,EQ,31.0,41.97,998.0
2026-09-02,76.53,76.71,76.16,76.57,1849,EQ,23.0,80.39,791.0
2026-09-03,78.16,78.16,76.54,76.63,243,EQ,10.0,24.3,243.0
2026-09-04,77.7,77.7,76.54,76.56,972,EQ,17.0,57.18,524.0
2026-09-07,78.1,78.59,75.93,76.28,2082,EQ,35.0,59.49,1339.0
2026-09-08,75.9,76.07,75.56,75.81,1324,EQ,27.0,49.04,1281.0
2026-09-09,77.27,77.27,74.89,75.06,4373,EQ,35.0,124.94,4301.0
2026-09-10,75.06,75.95,74.64,74.64,3263,EQ,25.0,130.52,3062.0
2026-09-11,75.95,76.81,74.27,75.01,685,EQ,23.0,29.78,663.0
2026-09-15,75.01,75.21,74.45,74.5,2639,EQ,40.0,65.97,2173.0
2026-09-16,75.38,75.38,73.73,74.55,7635,EQ,44,173.52,6708
2026-09-17,75.29,75.29,74.4,74.6,1385,EQ,17,81.47,1383
2026-09-18,74.5,74.6,74.4,74.56,2023,EQ,12,168.58,2017
