Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1042.6,1058.0,1042.6,1045.1,391,EQ,22.0,17.77,292.0
2026-08-18,1065.0,1073.9,1040.2,1047.3,327,EQ,45.0,7.27,268.0
2026-08-19,1064.0,1064.9,1045.0,1054.4,450,EQ,38.0,11.84,337.0
2026-08-20,1050.2,1059.9,1045.0,1045.5,1147,EQ,58.0,19.78,1030.0
2026-08-21,1042.7,1048.0,1027.0,1028.5,1103,EQ,84.0,13.13,986.0
2026-08-24,1042.6,1049.0,1010.0,1043.8,2162,EQ,116.0,18.64,1771.0
2026-08-25,1069.9,1069.9,1037.8,1046.2,2829,EQ,57.0,49.63,2773.0
2026-08-26,1067.9,1067.9,1050.1,1050.1,384,EQ,30.0,12.8,379.0
2026-08-27,1056.0,1056.0,1026.6,1032.8,665,EQ,51.0,13.04,574.0
2026-08-28,1031.0,1055.0,1030.1,1048.0,501,EQ,58.0,8.64,293.0
2026-08-31,1053.2,1064.0,1026.1,1051.2,676,EQ,34.0,19.88,542.0
2026-09-01,1037.0,1051.0,1037.0,1048.0,2402,EQ,39.0,61.59,2390.0
2026-09-02,1056.5,1057.0,1032.1,1043.9,574,EQ,39.0,14.72,484.0
2026-09-03,1040.0,1049.7,1027.3,1031.5,2668,EQ,36.0,74.11,2615.0
2026-09-04,1036.2,1045.0,1030.0,1038.8,422,EQ,38.0,11.11,378.0
2026-09-07,1022.2,1057.0,1022.2,1043.0,575,EQ,73.0,7.88,486.0
2026-09-08,1052.0,1052.0,1025.1,1039.9,276,EQ,34.0,8.12,266.0
2026-09-09,1052.5,1052.9,1021.2,1023.7,1113,EQ,73.0,15.25,894.0
2026-09-10,1026.6,1047.0,1000.0,1026.8,3349,EQ,229.0,14.62,2786.0
2026-09-11,1020.0,1034.8,998.6,1003.9,1783,EQ,146.0,12.21,1301.0
2026-09-15,991.2,1018.3,971.0,974.1,4111,EQ,246.0,16.71,3756.0
2026-09-16,988.0,994.9,960.3,992.0,571,EQ,78,7.32,473
2026-09-17,1007.0,1009.7,975.0,983.4,2628,EQ,93,28.26,2402
2026-09-18,985.0,997.0,972.6,979.9,1916,EQ,71,26.99,1772
