Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-06,245.0,264.72,232.11,259.71,69638657,EQ,1232508.0,56.5,38262205.0
2026-08-07,261.8,264.36,247.0,250.22,7424740,EQ,131175.0,56.6,2232260.0
2026-08-10,251.0,253.0,236.0,239.16,2979498,EQ,54360.0,54.81,1284943.0
2026-08-11,238.75,263.07,233.1,255.91,9162498,EQ,92511.0,99.04,2465102.0
2026-08-12,257.0,257.9,246.14,252.9,1388456,EQ,21770.0,63.78,376113.0
2026-08-13,252.88,260.65,246.87,249.89,1744497,EQ,26155.0,66.7,442405.0
2026-08-14,252.9,258.8,247.81,251.36,2046891,EQ,26902.0,76.09,776732.0
2026-08-17,254.0,256.75,240.0,241.68,1242333,EQ,25686.0,48.37,414507.0
2026-08-18,242.18,245.95,238.84,240.59,823202,EQ,19455.0,42.31,306385.0
2026-08-19,241.1,258.8,238.81,253.71,3169674,EQ,42058.0,75.36,1124895.0
2026-08-20,252.81,275.52,251.73,273.76,7029425,EQ,80558.0,87.26,1663066.0
2026-08-21,274.0,281.89,264.1,265.8,2621814,EQ,51133.0,51.27,730723.0
2026-08-24,265.8,269.9,258.3,261.99,681285,EQ,15723.0,43.33,253158.0
2026-08-25,260.7,268.65,257.01,258.96,709261,EQ,21993.0,32.25,206083.0
2026-08-26,258.11,270.93,258.11,267.44,2287532,EQ,50913.0,44.93,742741.0
2026-08-27,278.3,282.0,246.2,254.32,8844030,EQ,111663.0,79.2,2195895.0
2026-08-28,254.51,259.0,246.57,258.23,1228144,EQ,20405.0,60.19,402160.0
2026-08-31,259.0,266.0,252.5,264.78,1279179,EQ,24295.0,52.65,536488.0
2026-09-01,260.9,268.45,258.35,262.35,842779,EQ,14473.0,58.23,253683.0
2026-09-02,260.9,261.65,255.6,260.25,329482,EQ,8488.0,38.82,101977.0
2026-09-03,261.0,261.0,256.1,259.2,1056229,EQ,46905.0,22.52,567616.0
2026-09-04,261.0,273.25,259.6,265.1,983254,EQ,18604.0,52.85,485759.0
2026-09-07,264.0,268.4,258.0,260.65,277307,EQ,8126.0,34.13,130751.0
2026-09-08,259.05,267.5,252.5,264.1,742430,EQ,14419.0,51.49,342976.0
2026-09-09,261.1,262.9,257.0,260.5,500085,EQ,11109.0,45.02,269745.0
2026-09-10,263.0,263.0,257.3,259.05,177801,EQ,6627.0,26.83,79267.0
2026-09-11,259.0,269.3,254.85,265.35,773789,EQ,18455.0,41.93,255100.0
2026-09-15,265.4,272.9,261.8,264.5,840795,EQ,31215.0,26.94,266577.0
2026-09-16,267.1,275.4,259.0,261.8,995377,EQ,39980,24.9,315361
2026-09-17,262.0,264.0,251.7,257.2,770412,EQ,37196,20.71,278538
2026-09-18,259.8,267.0,256.5,265.15,720178,EQ,25538,28.2,443691
