Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,856.0,884.95,850.0,855.5,5566,EQ,374.0,14.88,5006.0
2026-08-18,855.3,869.95,850.0,859.85,3299,EQ,421.0,7.84,2074.0
2026-08-19,847.05,870.0,847.05,864.55,5821,EQ,769.0,7.57,3296.0
2026-08-20,877.7,877.7,840.05,849.9,36308,EQ,1312.0,27.67,29047.0
2026-08-21,850.9,854.95,830.25,849.5,11365,EQ,898.0,12.66,7346.0
2026-08-24,849.5,871.9,845.2,860.5,19487,EQ,1062.0,18.35,11082.0
2026-08-25,853.4,879.75,835.3,864.6,16021,EQ,1119.0,14.32,8537.0
2026-08-26,874.9,911.0,870.0,903.65,18576,EQ,1415.0,13.13,10796.0
2026-08-27,900.0,910.0,890.0,890.55,5200,EQ,586.0,8.87,3038.0
2026-08-28,897.15,904.55,873.0,879.65,5279,EQ,547.0,9.65,3616.0
2026-08-31,883.0,900.0,873.25,878.15,9887,EQ,852.0,11.6,6836.0
2026-09-01,881.95,888.3,865.15,870.95,6970,EQ,845.0,8.25,3796.0
2026-09-02,871.05,880.4,836.05,857.6,10196,EQ,1076.0,9.48,5893.0
2026-09-03,872.8,872.8,855.0,866.35,4557,EQ,478.0,9.53,2501.0
2026-09-04,877.0,877.0,863.05,868.1,5189,EQ,518.0,10.02,3418.0
2026-09-07,855.25,875.9,852.3,868.75,5575,EQ,559.0,9.97,3015.0
2026-09-08,875.95,880.0,866.5,873.95,8040,EQ,685.0,11.74,4500.0
2026-09-09,868.85,877.0,858.05,865.45,5254,EQ,847.0,6.2,2730.0
2026-09-10,865.45,889.7,857.0,875.9,5330,EQ,676.0,7.88,3051.0
2026-09-11,868.0,878.95,860.0,867.85,7907,EQ,1152.0,6.86,3779.0
2026-09-15,862.0,875.0,840.0,843.5,7780,EQ,991.0,7.85,4618.0
2026-09-16,845.95,852.0,821.2,839.45,9126,EQ,908,10.05,5264
2026-09-17,832.0,845.95,831.05,837.9,2099,EQ,376,5.58,1251
2026-09-18,837.9,856.45,832.7,841.0,2378,EQ,364,6.53,1375
