Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,17.9,18.0,13.55,13.55,11564,EQ,7.0,1652.0,11564.0
2026-08-18,16.25,16.26,16.25,16.26,4545,EQ,32.0,142.03,3472.0
2026-08-19,19.38,19.51,18.0,18.63,474236,EQ,1602.0,296.03,98390.0
2026-08-20,18.59,18.59,16.11,16.68,56343,EQ,484.0,116.41,39733.0
2026-08-21,17.55,17.55,16.4,16.77,2075,EQ,61.0,34.02,1674.0
2026-08-24,16.93,18.5,16.0,16.97,18598,EQ,142.0,130.97,14174.0
2026-08-25,17.5,17.5,16.5,16.56,596,EQ,20.0,29.8,438.0
2026-08-26,17.0,17.0,16.25,16.38,976,EQ,18.0,54.22,949.0
2026-08-27,16.35,16.8,16.0,16.52,5619,EQ,62.0,90.63,5047.0
2026-08-28,16.9,17.0,16.1,16.93,3706,EQ,25.0,148.24,2944.0
2026-08-31,17.0,17.0,16.25,17.0,280,EQ,18.0,15.56,199.0
2026-09-01,16.95,16.95,15.0,16.66,5629,EQ,72.0,78.18,3952.0
2026-09-02,16.5,16.55,15.99,16.0,25901,EQ,20.0,1295.05,25761.0
2026-09-03,16.5,16.5,15.6,15.9,11984,EQ,23.0,521.04,10720.0
2026-09-04,16.5,16.6,16.5,16.59,7692,EQ,18.0,427.33,6592.0
2026-09-07,16.59,16.99,16.5,16.53,620,EQ,18.0,34.44,617.0
2026-09-08,16.5,16.9,16.5,16.5,2514,EQ,10.0,251.4,2513.0
2026-09-09,16.5,16.5,16.0,16.0,10891,EQ,21.0,518.62,10358.0
2026-09-10,16.36,17.25,15.6,17.02,10112,EQ,61.0,165.77,9856.0
2026-09-11,17.5,17.5,16.27,17.46,2767,EQ,31.0,89.26,761.0
2026-09-15,17.8,17.8,16.5,17.0,640,EQ,13.0,49.23,440.0
2026-09-16,17.17,17.49,16.49,17.24,15,EQ,5,3.0,15
2026-09-17,17.95,17.95,16.5,16.5,2130,EQ,25,85.2,2034
2026-09-18,17.8,17.8,16.51,16.51,414,EQ,9,46.0,400
