Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,50.8,50.8,47.99,49.65,1041,EQ,15.0,69.4,1020.0
2026-08-18,49.6,55.0,46.2,48.48,2063,EQ,63.0,32.75,1434.0
2026-08-19,49.0,53.95,49.0,51.64,569,EQ,27.0,21.07,437.0
2026-08-20,52.95,52.95,50.9,52.78,2150,EQ,14.0,153.57,2150.0
2026-08-21,56.0,57.2,52.0,54.3,2747,EQ,22.0,124.86,1213.0
2026-08-24,56.79,56.79,56.35,56.35,50,EQ,3.0,16.67,50.0
2026-08-25,56.35,56.45,51.65,56.45,106,EQ,6.0,17.67,105.0
2026-08-26,56.9,58.0,56.35,56.35,204,EQ,6.0,34.0,203.0
2026-08-27,57.9,57.9,56.35,56.35,6,EQ,2.0,3.0,6.0
2026-08-28,57.99,57.99,55.94,55.95,283,EQ,10.0,28.3,282.0
2026-08-31,56.0,56.0,55.05,55.7,21,EQ,3.0,7.0,11.0
2026-09-01,57.8,57.8,52.2,55.55,467,EQ,27.0,17.3,462.0
2026-09-02,55.35,56.65,53.99,54.67,46,EQ,10.0,4.6,34.0
2026-09-03,57.0,57.0,54.2,56.79,444,EQ,8.0,55.5,441.0
2026-09-04,58.4,58.4,53.1,54.85,28,EQ,8.0,3.5,5.0
2026-09-07,54.85,58.7,52.45,56.4,185,EQ,9.0,20.56,183.0
2026-09-08,56.0,56.0,52.99,55.89,218,EQ,12.0,18.17,154.0
2026-09-09,56.0,56.0,55.95,55.95,202,EQ,4.0,50.5,202.0
2026-09-10,55.89,55.94,52.29,52.29,860,EQ,44.0,19.55,755.0
2026-09-11,52.29,52.29,52.29,52.29,1,EQ,1.0,1.0,1.0
2026-09-15,52.31,56.98,52.31,56.8,1089,EQ,12.0,90.75,1033.0
2026-09-16,55.4,55.4,55.3,55.3,11,EQ,3,3.67,6
2026-09-17,52.31,56.39,52.31,55.62,34,EQ,5,6.8,34
2026-09-18,55.62,55.62,55.62,55.62,1,EQ,1,1.0,1
