Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,59.1,59.1,52.0,54.0,98276,EQ,63.0,1559.94,94172.0
2026-08-18,54.2,56.0,52.8,53.1,22983,EQ,389.0,59.08,16066.0
2026-08-19,53.0,58.41,52.8,58.41,141932,EQ,935.0,151.8,85840.0
2026-08-20,58.4,59.9,56.21,59.37,174240,EQ,777.0,224.25,52995.0
2026-08-21,60.0,60.76,59.5,60.1,653817,EQ,1757.0,372.12,65610.0
2026-08-24,60.1,60.99,58.35,59.04,711424,EQ,1394.0,510.35,36960.0
2026-08-25,59.45,60.5,59.01,59.66,220837,EQ,1317.0,167.68,29142.0
2026-08-26,60.96,60.96,58.55,60.23,48018,EQ,582.0,82.51,15076.0
2026-08-27,61.49,61.49,58.52,60.51,126899,EQ,608.0,208.72,31504.0
2026-08-28,60.95,60.95,58.97,59.64,77984,EQ,286.0,272.67,9644.0
2026-08-31,60.7,60.7,53.68,53.68,139546,EQ,673.0,207.35,42768.0
2026-09-01,51.0,56.65,51.0,54.16,110417,EQ,828.0,133.35,39764.0
2026-09-02,53.6,54.99,48.75,51.06,498508,EQ,2010.0,248.01,161797.0
2026-09-03,52.51,53.4,50.0,51.81,16001,EQ,211.0,75.83,6986.0
2026-09-04,55.29,55.29,50.16,50.44,21136,EQ,219.0,96.51,16090.0
2026-09-07,50.19,53.0,48.05,48.57,415996,EQ,2495.0,166.73,69684.0
2026-09-08,48.9,48.9,47.01,47.36,35522,EQ,435.0,81.66,20215.0
2026-09-09,47.0,50.31,46.37,50.01,109479,EQ,883.0,123.99,52190.0
2026-09-10,50.2,51.75,48.65,50.14,95699,EQ,762.0,125.59,26877.0
2026-09-11,50.0,51.14,47.95,49.09,20263,EQ,286.0,70.85,10231.0
2026-09-15,49.44,50.58,45.95,46.61,33359,EQ,342.0,97.54,23911.0
2026-09-16,46.74,47.94,45.81,46.87,35148,EQ,528,66.57,13427
2026-09-17,47.46,49.97,46.62,49.46,32704,EQ,440,74.33,12663
2026-09-18,48.47,50.0,48.01,49.35,44221,EQ,536,82.5,35071
