Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-08,190.0,227.4,190.0,208.63,64104155,EQ,361097.0,177.53,30630369.0
2026-05-11,206.42,222.69,203.33,210.5,17274814,EQ,118585.0,145.67,4447490.0
2026-05-12,209.8,213.39,198.35,199.72,4899070,EQ,36936.0,132.64,1943161.0
2026-05-13,200.0,211.99,197.3,204.69,5055194,EQ,37599.0,134.45,1660570.0
2026-05-14,206.0,209.62,201.4,203.33,4082318,EQ,31863.0,128.12,1748920.0
2026-05-15,204.9,211.5,194.34,196.07,3918707,EQ,28072.0,139.59,1073879.0
2026-05-18,195.0,208.1,194.75,206.85,3342814,EQ,29005.0,115.25,1546914.0
2026-05-19,208.05,232.0,205.0,226.88,11899056,EQ,99519.0,119.57,3686317.0
2026-05-20,227.02,257.7,223.01,247.41,15221215,EQ,103961.0,146.41,3393837.0
2026-05-21,249.0,259.5,241.12,244.52,5785648,EQ,54102.0,106.94,1376549.0
2026-05-22,245.7,248.0,229.05,231.74,3750157,EQ,33168.0,113.07,1197646.0
2026-05-25,236.1,254.5,234.1,252.52,5055633,EQ,48159.0,104.98,1840682.0
2026-05-26,253.6,273.69,251.4,264.26,6754962,EQ,79485.0,84.98,1844453.0
2026-05-27,266.8,272.9,254.0,261.98,3134833,EQ,28085.0,111.62,945278.0
2026-05-29,273.0,281.59,267.14,272.46,5366954,EQ,40054.0,133.99,1732517.0
2026-06-01,273.95,275.0,258.05,261.7,1919328,EQ,24167.0,79.42,613368.0
2026-06-02,259.9,285.9,257.5,275.55,4493557,EQ,44142.0,101.8,1106406.0
2026-06-03,277.3,279.85,263.0,264.75,2986730,EQ,28764.0,103.84,1020768.0
2026-06-04,265.0,270.9,260.1,269.1,2309945,EQ,27566.0,83.8,614148.0
2026-06-05,267.95,273.2,252.5,269.85,4984495,EQ,54208.0,91.95,1857493.0
2026-06-08,265.1,282.7,265.1,270.35,4858758,EQ,47526.0,102.23,1339476.0
2026-06-09,273.0,288.8,273.0,284.1,5475316,EQ,43659.0,125.41,2161306.0
2026-06-10,283.4,283.4,265.0,269.65,3265045,EQ,29069.0,112.32,1129070.0
2026-06-11,269.0,272.35,257.0,259.7,2441150,EQ,25301.0,96.48,745614.0
2026-06-12,263.95,274.85,261.15,270.55,1997112,EQ,19033.0,104.93,471856.0
2026-06-15,274.5,281.9,268.2,270.85,1743352,EQ,16282.0,107.07,640863.0
2026-06-16,271.0,277.8,267.3,268.95,1281109,EQ,12833.0,99.83,458015.0
2026-06-17,269.1,281.25,266.7,277.15,2501613,EQ,28449.0,87.93,767552.0
2026-06-18,275.85,278.85,270.0,271.9,918892,EQ,9631.0,95.41,339675.0
2026-06-19,271.15,298.9,271.05,295.7,6019506,EQ,66044.0,91.14,1759294.0
2026-06-22,299.6,302.5,291.55,295.6,2656768,EQ,35744.0,74.33,808480.0
2026-06-23,295.0,295.0,280.0,285.3,1864673,EQ,22199.0,84.0,587159.0
2026-06-24,285.0,291.9,275.0,279.05,2036005,EQ,23167.0,87.88,586065.0
2026-06-25,281.9,290.8,272.8,275.1,1982473,EQ,23963.0,82.73,662465.0
2026-06-29,276.4,277.0,267.05,274.2,1528066,EQ,18543.0,82.41,599373.0
2026-06-30,274.2,282.95,273.6,279.5,1366352,EQ,14465.0,94.46,398332.0
2026-07-01,279.5,285.35,273.0,279.3,1502172,EQ,22363.0,67.17,513770.0
2026-07-02,281.0,321.85,280.45,316.85,15189765,EQ,156587.0,97.01,2503387.0
2026-07-03,318.8,320.0,305.5,311.6,2385029,EQ,39321.0,60.66,626905.0
2026-07-06,324.55,333.8,315.0,320.95,7673858,EQ,92177.0,83.25,1460845.0
2026-07-07,322.4,329.75,311.5,313.5,2240653,EQ,34965.0,64.08,619724.0
2026-07-08,309.7,317.2,298.8,302.65,2942170,EQ,37277.0,78.93,942140.0
2026-07-09,305.0,315.0,302.2,312.55,1524655,EQ,23935.0,63.7,527904.0
2026-07-10,314.0,326.0,307.55,320.8,2019677,EQ,23222.0,86.97,968387.0
2026-07-13,319.5,329.8,318.15,324.85,2789052,EQ,34143.0,81.69,1151052.0
2026-07-14,322.45,330.75,321.35,324.1,2346895,EQ,30441.0,77.1,738757.0
2026-07-15,325.6,329.95,318.3,321.15,970878,EQ,16462.0,58.98,323553.0
2026-07-16,322.9,327.8,316.0,321.15,966933,EQ,15119.0,63.95,352005.0
2026-07-17,320.0,320.0,308.5,310.65,1455988,EQ,24324.0,59.86,463381.0
2026-07-20,309.0,320.75,308.3,316.7,833481,EQ,14156.0,58.88,349302.0
2026-07-21,314.1,340.0,313.15,336.45,2179977,EQ,36284.0,60.08,961699.0
