Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,56.83,59.0,51.01,58.85,1308,EQ,4.0,327.0,1288.0
2026-08-18,62.85,62.85,56.21,61.99,3500,EQ,30.0,116.67,3499.0
2026-08-19,61.99,61.99,55.35,55.35,322,EQ,10.0,32.2,322.0
2026-08-20,66.35,66.42,61.9,66.42,3326,EQ,62.0,53.65,2795.0
2026-08-21,79.7,79.7,79.7,79.7,3747,EQ,46.0,81.46,3513.0
2026-08-24,82.0,84.5,71.73,71.73,19958,EQ,240.0,83.16,17444.0
2026-08-25,64.56,77.0,64.56,71.97,13899,EQ,260.0,53.46,10617.0
2026-08-26,66.25,73.8,66.25,73.78,6283,EQ,187.0,33.6,4986.0
2026-08-27,72.95,72.95,66.41,69.11,7457,EQ,82.0,90.94,7177.0
2026-08-28,64.6,72.46,64.6,66.97,1211,EQ,42.0,28.83,861.0
2026-08-31,66.97,69.65,66.1,66.1,270,EQ,16.0,16.88,268.0
2026-09-01,66.1,68.9,63.63,64.1,638,EQ,18.0,35.44,439.0
2026-09-02,64.1,67.0,64.1,64.37,615,EQ,10.0,61.5,569.0
2026-09-03,63.1,67.38,62.1,66.46,562,EQ,14.0,40.14,559.0
2026-09-04,66.79,68.0,63.14,63.14,2504,EQ,47.0,53.28,2044.0
2026-09-07,63.14,65.88,60.23,61.84,5578,EQ,113.0,49.36,2695.0
2026-09-08,61.84,64.89,61.54,62.54,1447,EQ,68.0,21.28,1272.0
2026-09-09,62.5,63.97,62.0,62.64,285,EQ,11.0,25.91,252.0
2026-09-10,62.0,63.95,60.22,61.58,1795,EQ,49.0,36.63,959.0
2026-09-11,61.58,62.5,60.03,60.51,1605,EQ,80.0,20.06,1196.0
2026-09-15,60.51,62.94,60.51,60.95,214,EQ,75.0,2.85,187.0
2026-09-16,60.5,62.77,60.5,62.57,670,EQ,12,55.83,655
2026-09-17,63.99,63.99,60.5,61.02,593,EQ,25,23.72,426
2026-09-18,62.0,63.49,60.51,63.2,620,EQ,27,22.96,570
