Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,137.7,148.0,134.7,143.13,538702,EQ,5389.0,99.96,319641.0
2026-08-18,143.49,146.0,141.0,141.97,217294,EQ,2659.0,81.72,117220.0
2026-08-19,141.01,142.56,136.0,136.95,132475,EQ,2315.0,57.22,71197.0
2026-08-20,138.32,139.79,136.0,136.94,116875,EQ,1697.0,68.87,55119.0
2026-08-21,138.99,143.07,138.98,141.65,118525,EQ,2152.0,55.08,67271.0
2026-08-24,143.07,144.78,138.62,139.25,123570,EQ,2400.0,51.49,77219.0
2026-08-25,139.6,141.6,137.5,140.22,72174,EQ,1389.0,51.96,44574.0
2026-08-26,139.11,141.59,137.82,138.91,75596,EQ,1584.0,47.72,38208.0
2026-08-27,139.73,140.6,136.01,138.18,54285,EQ,990.0,54.83,28034.0
2026-08-28,138.6,139.58,136.62,138.05,82093,EQ,1400.0,58.64,44174.0
2026-08-31,140.57,140.57,133.06,135.52,125433,EQ,1939.0,64.69,69896.0
2026-09-01,136.51,137.4,132.11,133.32,85988,EQ,1548.0,55.55,39643.0
2026-09-02,133.83,134.9,131.45,133.19,62555,EQ,1395.0,44.84,35771.0
2026-09-03,134.79,139.0,133.35,138.0,75512,EQ,1437.0,52.55,40804.0
2026-09-04,138.0,141.58,136.5,138.24,94440,EQ,1567.0,60.27,56616.0
2026-09-07,140.37,140.4,135.0,135.73,70725,EQ,1729.0,40.91,38852.0
2026-09-08,138.59,138.59,134.61,137.59,73643,EQ,1526.0,48.26,41130.0
2026-09-09,138.47,139.2,135.0,138.25,71949,EQ,1813.0,39.69,41973.0
2026-09-10,139.15,139.99,136.5,137.45,85875,EQ,1756.0,48.9,51916.0
2026-09-11,137.45,139.31,134.75,138.47,161203,EQ,2416.0,66.72,51771.0
2026-09-15,138.48,138.56,132.0,132.8,108615,EQ,2098.0,51.77,55028.0
2026-09-16,133.46,154.0,128.48,146.93,9088731,EQ,74377,122.2,472963
2026-09-17,146.92,160.39,144.47,156.74,5686607,EQ,53052,107.19,507314
2026-09-18,157.0,158.33,148.0,150.26,467949,EQ,7797,60.02,146921
