Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,195.0,205.0,189.99,194.47,37866,EQ,752.0,50.35,31136.0
2026-08-18,197.9,199.99,196.0,198.82,25704,EQ,572.0,44.94,19043.0
2026-08-19,198.75,200.0,196.0,197.69,56036,EQ,1038.0,53.98,39033.0
2026-08-20,198.5,198.5,193.21,196.8,119471,EQ,1672.0,71.45,82484.0
2026-08-21,192.01,192.86,183.3,183.84,71756,EQ,1158.0,61.97,43298.0
2026-08-24,184.0,184.0,173.31,176.26,77032,EQ,1909.0,40.35,54507.0
2026-08-25,176.26,178.0,174.0,175.94,26206,EQ,716.0,36.6,18386.0
2026-08-26,176.05,181.0,176.0,180.23,12913,EQ,404.0,31.96,8184.0
2026-08-27,178.4,184.0,175.63,177.96,14503,EQ,419.0,34.61,10141.0
2026-08-28,177.96,180.95,175.02,177.99,22498,EQ,374.0,60.16,17296.0
2026-08-31,186.77,186.77,175.0,180.3,18660,EQ,427.0,43.7,14937.0
2026-09-01,175.02,178.9,175.02,177.86,8819,EQ,448.0,19.69,6340.0
2026-09-02,179.96,179.96,175.0,177.04,18978,EQ,421.0,45.08,13685.0
2026-09-03,179.15,182.0,178.2,180.29,6586,EQ,236.0,27.91,5347.0
2026-09-04,184.97,184.97,177.0,180.12,15087,EQ,374.0,40.34,11613.0
2026-09-07,181.92,182.0,175.52,177.0,25847,EQ,541.0,47.78,21045.0
2026-09-08,182.94,182.94,177.0,178.95,12354,EQ,315.0,39.22,9570.0
2026-09-09,181.99,181.99,176.11,177.85,14563,EQ,275.0,52.96,12856.0
2026-09-10,177.85,180.0,177.69,178.69,13610,EQ,169.0,80.53,12553.0
2026-09-11,175.02,180.05,175.02,177.22,23974,EQ,209.0,114.71,15260.0
2026-09-15,180.75,180.75,176.12,176.88,17510,EQ,381.0,45.96,15447.0
2026-09-16,175.05,177.93,174.01,176.35,9240,EQ,255,36.24,6350
2026-09-17,176.25,180.55,174.85,177.33,17970,EQ,519,34.62,13307
2026-09-18,179.6,180.0,176.0,178.37,5194,EQ,325,15.98,3700
