Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,51.65,51.98,47.0,49.11,428,EQ,10.0,42.8,377.0
2026-08-18,50.9,50.9,50.33,50.33,43,EQ,4.0,10.75,42.0
2026-08-19,48.05,49.69,48.0,49.69,967,EQ,7.0,138.14,967.0
2026-08-20,49.5,49.5,49.0,49.25,487,EQ,8.0,60.88,487.0
2026-08-21,51.5,51.5,47.0,50.8,112,EQ,6.0,18.67,112.0
2026-08-24,51.25,51.25,47.0,51.2,9,EQ,4.0,2.25,9.0
2026-08-25,51.5,51.5,49.0,49.0,281,EQ,8.0,35.12,241.0
2026-08-26,50.0,53.95,50.0,53.47,139,EQ,8.0,17.38,130.0
2026-08-27,52.9,52.9,52.1,52.1,13,EQ,4.0,3.25,13.0
2026-08-28,50.9,50.9,50.9,50.9,10,EQ,1.0,10.0,10.0
2026-08-31,51.15,51.15,49.0,49.4,48,EQ,6.0,8.0,48.0
2026-09-01,50.0,50.0,49.6,49.6,59,EQ,2.0,29.5,59.0
2026-09-02,48.2,52.85,48.2,50.06,102,EQ,7.0,14.57,90.0
2026-09-03,54.0,54.0,47.05,51.7,232,EQ,12.0,19.33,225.0
2026-09-04,50.3,51.45,42.7,51.4,23,EQ,8.0,2.88,12.0
2026-09-07,50.0,50.0,50.0,50.0,16,EQ,4.0,4.0,16.0
2026-09-08,50.0,50.0,45.0,45.19,331,EQ,25.0,13.24,254.0
2026-09-09,45.85,54.22,45.85,51.61,11637,EQ,196.0,59.37,2669.0
2026-09-10,54.9,61.93,53.0,61.93,9326,EQ,64.0,145.72,9025.0
2026-09-11,73.0,74.31,73.0,74.31,59231,EQ,418.0,141.7,31001.0
2026-09-15,80.9,80.98,66.88,66.88,62133,EQ,1005.0,61.82,28549.0
2026-09-16,66.8,66.8,60.2,60.94,10098,EQ,746,13.54,6419
2026-09-17,61.55,63.98,60.26,62.98,5213,BE,63,82.75,5213
2026-09-18,60.05,63.24,59.84,59.84,3727,BE,63,59.16,3727
