Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,8505.0,8505.0,7900.0,8001.5,69,EQ,34.0,2.03,46.0
2026-08-19,8155.0,8398.5,8059.0,8059.0,51,EQ,26.0,1.96,36.0
2026-08-20,8200.0,8500.0,8200.0,8300.0,49,EQ,27.0,1.81,44.0
2026-08-21,8350.0,8490.0,8300.0,8344.5,54,EQ,22.0,2.45,50.0
2026-08-24,8499.0,8499.0,8100.5,8164.0,20,EQ,13.0,1.54,20.0
2026-08-25,8120.0,8350.0,7900.0,8020.5,30,EQ,26.0,1.15,21.0
2026-08-26,7800.5,8299.0,7800.5,8299.0,5,EQ,5.0,1.0,3.0
2026-08-27,8011.0,8298.0,8011.0,8298.0,3,EQ,3.0,1.0,2.0
2026-08-28,8300.0,8375.0,8288.0,8370.0,9,EQ,7.0,1.29,9.0
2026-08-31,8050.0,8050.0,8000.0,8000.0,21,EQ,3.0,7.0,21.0
2026-09-01,8000.0,8100.0,7901.0,8000.0,27,EQ,17.0,1.59,22.0
2026-09-02,7950.0,8086.0,7700.0,7927.0,222,EQ,46.0,4.83,208.0
2026-09-03,7980.0,8000.0,7700.0,7800.0,42,EQ,19.0,2.21,42.0
2026-09-04,7621.0,7800.0,7621.0,7621.0,29,EQ,11.0,2.64,28.0
2026-09-07,7671.5,7900.0,7625.0,7734.0,22,EQ,14.0,1.57,13.0
2026-09-08,8045.0,8045.0,7751.0,7998.5,9,EQ,8.0,1.12,8.0
2026-09-09,7979.5,7979.5,7800.0,7800.0,5,EQ,4.0,1.25,4.0
2026-09-11,7760.0,7835.0,7540.0,7800.0,30,EQ,17.0,1.76,17.0
2026-09-15,7799.0,8000.0,7565.0,7565.0,96,EQ,33.0,2.91,83.0
2026-09-16,7760.0,7850.0,7554.0,7850.0,10,EQ,8,1.25,8
2026-09-17,7850.0,7969.0,7850.0,7968.5,5,EQ,5,1.0,5
2026-09-18,7654.0,7654.0,7654.0,7654.0,1,EQ,1,1.0,1
