Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,10.91,11.35,10.1,11.07,213360,EQ,970.0,219.96,148795.0
2026-08-18,11.12,11.24,10.58,10.92,148016,EQ,404.0,366.38,112017.0
2026-08-19,11.1,11.1,10.2,10.4,205983,EQ,1026.0,200.76,165077.0
2026-08-20,10.55,10.7,10.1,10.38,370610,EQ,820.0,451.96,282216.0
2026-08-21,10.35,10.57,10.3,10.42,125005,EQ,420.0,297.63,83966.0
2026-08-24,10.42,10.91,10.32,10.86,292638,EQ,559.0,523.5,230789.0
2026-08-25,10.98,11.48,10.3,11.34,735822,EQ,942.0,781.13,634369.0
2026-08-26,11.59,11.99,10.5,11.72,652874,EQ,1111.0,587.65,474339.0
2026-08-27,11.8,12.1,11.5,11.64,511926,EQ,1042.0,491.29,416371.0
2026-08-28,11.96,11.96,11.45,11.5,207955,EQ,479.0,434.14,173083.0
2026-08-31,13.8,13.8,12.25,13.12,3208132,EQ,5599.0,572.98,1742864.0
2026-09-01,13.45,13.45,11.57,12.61,1206915,EQ,2922.0,413.04,790126.0
2026-09-02,13.0,13.0,12.5,12.91,506482,EQ,1169.0,433.26,398503.0
2026-09-03,13.0,13.44,12.96,13.19,704727,EQ,1818.0,387.64,447532.0
2026-09-04,13.19,13.2,12.82,13.03,603720,EQ,1168.0,516.88,506847.0
2026-09-07,13.06,13.23,12.63,12.96,341167,EQ,723.0,471.88,269063.0
2026-09-08,13.01,13.1,12.51,12.62,465876,EQ,1039.0,448.39,320903.0
2026-09-09,12.55,13.0,12.5,12.65,376947,EQ,694.0,543.15,309086.0
2026-09-10,12.58,12.97,12.58,12.83,205672,EQ,771.0,266.76,167627.0
2026-09-11,12.95,12.95,12.6,12.74,169288,EQ,537.0,315.25,124829.0
2026-09-15,13.18,13.18,12.4,12.47,274163,EQ,812.0,337.64,214767.0
2026-09-16,12.95,12.95,12.05,12.23,243216,EQ,688,353.51,183608
2026-09-17,12.23,12.82,12.2,12.39,193860,EQ,426,455.07,151643
2026-09-18,12.6,12.6,12.0,12.11,346283,EQ,997,347.32,300440
