Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,36.88,38.0,36.82,36.9,1363,EQ,35.0,38.94,1356.0
2026-08-21,36.83,36.83,36.75,36.83,1173,EQ,14.0,83.79,1171.0
2026-08-24,36.83,36.92,36.7,36.71,62475,EQ,39.0,1601.92,2265.0
2026-08-25,36.8,36.92,36.75,36.83,9786,EQ,10.0,978.6,9662.0
2026-08-26,37.01,37.08,36.9,36.9,2483,EQ,13.0,191.0,1388.0
2026-08-27,36.99,36.99,36.86,36.86,175,EQ,6.0,29.17,175.0
2026-08-28,36.8,36.88,36.7,36.87,3301,EQ,17.0,194.18,3068.0
2026-08-31,36.7,36.92,36.5,36.74,232544,EQ,121.0,1921.85,11326.0
2026-09-01,36.74,36.78,36.45,36.52,2132,EQ,16.0,133.25,2132.0
2026-09-02,36.27,36.35,36.16,36.34,1300,EQ,16.0,81.25,1230.0
2026-09-03,36.45,36.45,36.27,36.36,2661,EQ,15.0,177.4,2627.0
2026-09-04,36.36,36.42,36.27,36.39,2309,EQ,14.0,164.93,1353.0
2026-09-07,37.0,37.0,36.13,36.15,3824,EQ,30.0,127.47,3102.0
2026-09-08,36.08,36.15,35.97,36.14,1390,EQ,18.0,77.22,404.0
2026-09-09,36.69,36.69,35.85,35.9,1823,EQ,28.0,65.11,1818.0
2026-09-10,35.9,35.9,35.8,35.83,1490,EQ,32.0,46.56,1349.0
2026-09-11,36.55,36.55,35.4,35.69,1478,EQ,24.0,61.58,1173.0
2026-09-15,35.85,35.85,35.03,35.06,3975,EQ,70.0,56.79,3272.0
2026-09-16,35.06,35.2,34.95,35.19,1217,EQ,15,81.13,918
2026-09-17,35.22,35.52,35.22,35.31,1283,EQ,10,128.3,1259
2026-09-18,35.53,35.56,35.36,35.55,1014,EQ,11,92.18,970
