Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-16,250.0,270.0,250.0,262.42,38655377,EQ,293014.0,131.92,19260599.0
2026-07-17,271.69,288.66,270.5,288.66,8020732,EQ,38875.0,206.32,2731834.0
2026-07-20,297.15,304.4,271.2,274.53,12859438,EQ,201774.0,63.73,2907133.0
2026-07-21,274.53,284.9,267.24,281.92,3935718,EQ,37979.0,103.63,1193872.0
2026-07-22,286.8,288.0,274.0,277.69,2210740,EQ,19992.0,110.58,607957.0
2026-07-23,281.0,286.8,275.0,279.57,2126681,EQ,22637.0,93.95,729128.0
2026-07-24,277.4,307.52,272.52,307.52,6556933,EQ,58092.0,112.87,2303724.0
2026-07-27,315.55,317.0,298.0,306.22,5223714,EQ,54003.0,96.73,1399280.0
2026-07-28,307.66,307.66,283.05,285.66,2809299,EQ,36855.0,76.23,934764.0
2026-07-29,289.0,314.22,280.2,306.67,7735392,EQ,80638.0,95.93,1832664.0
2026-07-30,307.59,309.0,295.07,300.42,2914350,EQ,33840.0,86.12,416237.0
2026-07-31,302.8,315.6,296.14,299.37,3390535,EQ,37093.0,91.41,716766.0
2026-08-03,303.0,307.8,288.0,295.1,2496781,EQ,26043.0,95.87,629991.0
2026-08-04,295.8,299.5,285.95,287.45,1352390,EQ,15039.0,89.93,525155.0
2026-08-05,291.95,302.0,289.0,290.2,2454989,EQ,24903.0,98.58,740383.0
2026-08-06,292.7,303.2,289.3,292.0,1654581,EQ,19225.0,86.06,455185.0
2026-08-07,293.0,297.7,290.9,295.1,999456,EQ,12063.0,82.85,354606.0
2026-08-10,296.5,306.5,292.55,302.55,2513759,EQ,31380.0,80.11,764842.0
2026-08-11,287.95,300.9,282.3,289.05,5080059,EQ,55786.0,91.06,1474343.0
2026-08-12,289.95,289.95,279.3,281.55,1179002,EQ,14472.0,81.47,495881.0
2026-08-13,282.9,305.65,270.05,298.0,5654140,EQ,61745.0,91.57,1861645.0
2026-08-14,297.9,306.6,295.6,302.9,1688928,EQ,20477.0,82.48,578360.0
2026-08-17,302.95,329.95,302.95,324.35,6308669,EQ,61622.0,102.38,2229434.0
2026-08-18,321.5,331.5,320.4,327.6,2181158,EQ,25983.0,83.95,745498.0
2026-08-19,330.0,341.95,318.0,322.5,2685452,EQ,68665.0,39.11,920096.0
2026-08-20,324.9,335.4,321.3,328.4,1655795,EQ,34403.0,48.13,627312.0
2026-08-21,330.95,341.0,327.05,337.55,1360433,EQ,17069.0,79.7,527115.0
2026-08-24,338.0,339.85,331.6,334.5,1047815,EQ,14617.0,71.68,433691.0
2026-08-25,334.0,343.5,331.1,335.4,1330667,EQ,21277.0,62.54,383649.0
2026-08-26,337.6,341.2,325.35,328.2,684102,EQ,11292.0,60.58,276744.0
2026-08-27,328.0,329.0,318.1,319.6,623061,EQ,11392.0,54.69,272855.0
2026-08-28,320.05,327.9,318.45,325.65,466158,EQ,8734.0,53.37,148098.0
2026-08-31,326.0,326.9,308.3,314.3,538005,EQ,7611.0,70.69,265408.0
2026-09-01,315.4,318.5,300.0,311.35,815644,EQ,11939.0,68.32,360868.0
2026-09-02,308.0,311.0,302.15,303.55,394417,EQ,8875.0,44.44,172846.0
2026-09-03,305.9,308.9,298.8,301.05,532586,EQ,9392.0,56.71,216678.0
2026-09-04,303.7,305.95,291.5,295.65,999119,EQ,13918.0,71.79,520383.0
2026-09-07,296.9,312.9,295.2,310.7,1032439,EQ,18410.0,56.08,449504.0
2026-09-08,313.95,317.15,303.8,305.3,507280,EQ,10060.0,50.43,239383.0
2026-09-09,304.0,307.45,295.3,296.65,697253,EQ,9873.0,70.62,406985.0
2026-09-10,296.75,299.45,289.8,290.65,479560,EQ,8462.0,56.67,249575.0
2026-09-11,289.0,294.05,281.0,289.75,685699,EQ,11290.0,60.74,313970.0
2026-09-15,289.8,290.55,267.6,271.9,1156486,EQ,14939.0,77.41,659316.0
2026-09-16,273.6,277.5,266.2,270.8,505982,EQ,10916,46.35,226051
2026-09-17,270.8,274.65,266.65,269.0,411450,EQ,7669,53.65,183403
2026-09-18,270.5,284.0,270.4,280.75,1116298,EQ,20403,54.71,611080
