Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-30,461.0,508.65,461.0,494.6,20759451,EQ,309197.0,67.14,7608208.0
2026-07-31,480.0,544.4,479.95,535.15,10892095,EQ,209159.0,52.08,2077117.0
2026-08-03,534.0,547.7,517.3,525.7,2411586,EQ,58749.0,41.05,691323.0
2026-08-04,518.0,527.45,509.05,519.2,1119100,EQ,22258.0,50.28,476606.0
2026-08-05,519.2,537.25,511.15,513.9,1009572,EQ,19363.0,52.14,244403.0
2026-08-06,520.0,543.7,514.0,531.45,1939474,EQ,48842.0,39.71,541854.0
2026-08-07,533.9,555.6,521.1,530.3,1320324,EQ,47624.0,27.72,367858.0
2026-08-10,528.95,548.0,511.4,519.25,811771,EQ,20819.0,38.99,324418.0
2026-08-11,520.1,524.75,496.0,499.95,809128,EQ,17397.0,46.51,374770.0
2026-08-12,503.0,524.0,493.55,514.55,666707,EQ,14251.0,46.78,301922.0
2026-08-13,517.85,541.0,516.95,534.35,417099,EQ,10458.0,39.88,172317.0
2026-08-14,533.95,542.4,523.2,528.95,271602,EQ,7131.0,38.09,126921.0
2026-08-17,532.6,553.5,524.65,546.2,564297,EQ,17270.0,32.67,251360.0
2026-08-18,546.2,577.7,543.45,573.0,1385067,EQ,44743.0,30.96,623968.0
2026-08-19,580.4,580.4,551.6,561.3,867092,EQ,22963.0,37.76,353899.0
2026-08-20,552.0,576.95,536.3,539.85,1614885,EQ,42702.0,37.82,454684.0
2026-08-21,550.0,590.0,550.0,577.15,1981216,EQ,45307.0,43.73,824226.0
2026-08-24,580.9,589.0,556.0,584.1,591724,EQ,24142.0,24.51,234315.0
2026-08-25,582.9,599.5,575.0,587.0,837602,EQ,30476.0,27.48,364338.0
2026-08-26,582.0,604.7,570.2,598.2,619295,EQ,25490.0,24.3,282505.0
2026-08-27,594.9,594.9,562.35,566.0,377787,EQ,19417.0,19.46,174114.0
2026-08-28,569.95,576.0,556.3,565.1,339182,EQ,15016.0,22.59,148593.0
2026-08-31,566.5,575.0,545.55,551.45,317066,EQ,14381.0,22.05,134210.0
2026-09-01,545.0,549.9,532.0,543.8,320829,EQ,16940.0,18.94,148148.0
2026-09-02,539.0,553.95,535.8,540.85,144632,EQ,10302.0,14.04,65067.0
2026-09-03,543.8,560.0,531.4,553.45,932165,EQ,39400.0,23.66,548340.0
2026-09-04,560.0,598.0,560.0,581.5,1628313,EQ,89054.0,18.28,727078.0
2026-09-07,584.0,587.95,561.95,565.5,364696,EQ,12691.0,28.74,215889.0
2026-09-08,565.0,571.5,546.0,555.8,429052,EQ,17179.0,24.98,227857.0
2026-09-09,556.3,562.9,539.0,544.7,383959,EQ,17640.0,21.77,192565.0
2026-09-10,548.0,567.3,539.1,561.25,451525,EQ,20793.0,21.72,154996.0
2026-09-11,561.25,561.25,545.4,553.05,237836,EQ,11894.0,20.0,89984.0
2026-09-15,550.2,551.7,532.15,535.5,297525,EQ,11905.0,24.99,185994.0
2026-09-16,532.8,535.9,504.4,523.8,495678,EQ,17508,28.31,233392
2026-09-17,523.1,544.0,516.0,524.95,327586,EQ,23370,14.02,85367
2026-09-18,527.45,547.05,527.35,538.6,322072,EQ,16497,19.52,152046
