Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-14,165.9,167.0,143.0,144.93,92916431,EQ,590818.0,157.27,53311958.0
2026-08-17,152.0,158.7,150.68,155.49,28512997,EQ,251745.0,113.26,12468478.0
2026-08-18,160.0,164.7,158.3,160.3,29119032,EQ,199474.0,145.98,10992987.0
2026-08-19,159.3,171.25,156.15,159.69,33309665,EQ,199158.0,167.25,11173382.0
2026-08-20,162.78,169.8,162.5,166.66,18931621,EQ,131049.0,144.46,5639883.0
2026-08-21,167.0,167.5,161.26,162.02,6354340,EQ,41924.0,151.57,2539393.0
2026-08-24,160.99,163.3,156.5,159.36,5189235,EQ,41453.0,125.18,2234210.0
2026-08-25,158.66,162.45,157.45,158.31,3568532,EQ,30836.0,115.73,1566393.0
2026-08-26,159.5,165.18,158.6,159.65,4208271,EQ,34333.0,122.57,1760063.0
2026-08-27,160.5,165.75,160.5,161.77,5771795,EQ,39770.0,145.13,2418191.0
2026-08-28,162.48,169.8,161.85,168.4,8859488,EQ,70327.0,125.98,3852716.0
2026-08-31,170.9,172.29,165.3,167.82,7393714,EQ,57946.0,127.6,2977042.0
2026-09-01,166.75,166.75,157.55,159.47,10616983,EQ,66354.0,160.01,4550061.0
2026-09-02,159.0,162.0,156.51,157.68,4097242,EQ,33934.0,120.74,1730783.0
2026-09-03,158.9,160.3,151.7,152.41,4076195,EQ,44883.0,90.82,2002989.0
2026-09-04,153.5,155.3,149.5,150.26,5589910,EQ,43498.0,128.51,2523870.0
2026-09-07,152.0,152.55,145.45,146.28,2141218,EQ,23760.0,90.12,954476.0
2026-09-08,147.0,149.16,143.68,148.26,3493046,EQ,27915.0,125.13,1695864.0
2026-09-09,149.79,149.79,143.8,144.91,1589038,EQ,19001.0,83.63,813342.0
2026-09-10,144.99,146.69,140.29,140.96,2862305,EQ,36649.0,78.1,1381393.0
2026-09-11,139.9,145.0,136.0,144.34,4172766,EQ,44355.0,94.08,1706911.0
2026-09-15,145.31,145.31,132.92,134.61,3444783,EQ,38124.0,90.36,1524879.0
2026-09-16,134.61,135.85,128.55,134.71,2218348,EQ,28193,78.68,725809
2026-09-17,134.25,139.0,133.78,136.31,2323727,EQ,25340,91.7,1101696
2026-09-18,137.25,143.02,135.34,140.47,2759097,EQ,34617,79.7,1137481
