Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,6.99,7.45,6.99,7.06,7919,EQ,29.0,273.07,7869.0
2026-08-18,7.06,7.97,6.81,7.58,18361,EQ,146.0,125.76,10874.0
2026-08-19,8.71,8.73,7.58,7.77,25358,EQ,204.0,124.3,12766.0
2026-08-20,8.73,8.73,7.95,8.36,44101,EQ,196.0,225.01,24368.0
2026-08-21,8.44,9.51,7.56,9.19,99370,EQ,392.0,253.49,61903.0
2026-08-24,10.75,11.02,9.32,10.5,360638,EQ,1641.0,219.77,193710.0
2026-08-25,10.72,11.48,9.81,9.91,81045,EQ,543.0,149.25,62639.0
2026-08-26,10.24,10.25,9.28,9.84,51827,EQ,285.0,181.85,36624.0
2026-08-27,10.24,10.24,9.15,9.82,58271,EQ,302.0,192.95,48080.0
2026-08-28,10.06,10.47,9.51,10.25,33254,EQ,181.0,183.72,28638.0
2026-08-31,10.39,10.39,9.62,10.12,44248,EQ,163.0,271.46,28044.0
2026-09-01,9.61,10.0,9.45,9.51,26200,EQ,146.0,179.45,17283.0
2026-09-02,9.34,9.87,8.62,8.89,52757,EQ,191.0,276.21,36128.0
2026-09-03,8.89,9.0,8.45,8.49,36925,BE,71.0,520.07,36925.0
2026-09-04,8.15,8.84,8.08,8.45,29014,BE,77.0,376.81,29014.0
2026-09-07,8.62,8.7,8.06,8.29,6138,BE,41.0,149.71,6138.0
2026-09-08,8.2,8.39,7.88,8.0,4060,BE,30.0,135.33,4060.0
2026-09-09,7.9,8.08,7.9,8.05,3270,BE,24.0,136.25,3270.0
2026-09-10,8.45,8.45,7.72,8.11,1714,BE,32.0,53.56,1714.0
2026-09-11,8.28,8.28,7.9,7.9,5872,BE,41.0,143.22,5872.0
2026-09-15,8.29,8.29,7.52,7.74,7188,BE,68.0,105.71,7188.0
2026-09-16,7.89,7.9,7.4,7.55,9611,BE,40,240.28,9611
2026-09-17,7.4,7.92,7.4,7.92,2963,BE,26,113.96,2963
2026-09-18,7.92,8.2,7.6,7.8,2347,BE,27,86.93,2347
