Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,16.91,16.91,15.2,16.44,2840,EQ,40.0,71.0,2273.0
2026-08-18,16.44,17.7,16.44,16.76,26512,EQ,654.0,40.54,23091.0
2026-08-19,18.43,18.43,16.0,16.25,35294,EQ,184.0,191.82,24192.0
2026-08-20,16.26,17.2,16.24,17.2,7740,EQ,87.0,88.97,7016.0
2026-08-21,18.2,18.2,16.0,17.0,7214,EQ,77.0,93.69,5240.0
2026-08-24,15.7,17.42,15.7,16.37,21224,EQ,223.0,95.17,15486.0
2026-08-25,16.29,16.64,15.05,15.89,39573,EQ,93.0,425.52,35773.0
2026-08-26,16.36,16.46,15.21,15.43,9187,EQ,176.0,52.2,6705.0
2026-08-27,15.6,15.93,14.51,15.63,10552,EQ,137.0,77.02,6859.0
2026-08-28,15.45,15.87,15.21,15.44,7798,EQ,83.0,93.95,4737.0
2026-08-31,15.37,15.6,14.55,15.45,7031,EQ,83.0,84.71,5965.0
2026-09-01,15.7,15.9,15.06,15.18,3510,EQ,74.0,47.43,2788.0
2026-09-02,15.18,15.58,14.01,15.19,19888,EQ,229.0,86.85,13581.0
2026-09-03,15.76,15.76,14.51,15.02,8972,EQ,91.0,98.59,6044.0
2026-09-04,15.59,15.99,14.62,15.28,7614,EQ,92.0,82.76,6171.0
2026-09-07,15.28,15.82,15.05,15.42,8421,EQ,72.0,116.96,7395.0
2026-09-08,16.61,16.61,15.15,15.35,7963,EQ,131.0,60.79,6248.0
2026-09-09,14.86,15.9,14.86,15.84,20009,EQ,122.0,164.01,14706.0
2026-09-10,15.8,16.66,15.2,15.96,15839,EQ,106.0,149.42,12133.0
2026-09-11,15.95,16.1,15.44,15.82,2384,EQ,72.0,33.11,538.0
2026-09-15,15.82,16.5,14.99,15.2,12628,EQ,308.0,41.0,10547.0
2026-09-16,15.2,15.77,14.98,15.03,35001,EQ,302,115.9,33802
2026-09-17,14.71,15.23,14.71,15.06,728,EQ,50,14.56,671
2026-09-18,15.65,15.65,14.75,15.01,9134,EQ,114,80.12,6144
