Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,620.0,635.0,595.9,622.05,829,EQ,116.0,7.15,648.0
2026-08-18,621.0,633.95,601.0,616.8,2315,EQ,200.0,11.58,1488.0
2026-08-19,621.35,627.25,619.95,623.25,1159,EQ,69.0,16.8,796.0
2026-08-20,623.0,623.0,612.0,615.0,2405,EQ,173.0,13.9,1665.0
2026-08-21,616.0,620.0,613.0,614.9,1484,EQ,78.0,19.03,1153.0
2026-08-24,620.0,632.9,610.0,622.2,3838,EQ,184.0,20.86,3377.0
2026-08-25,620.0,632.0,617.05,625.4,5672,EQ,196.0,28.94,3976.0
2026-08-26,625.4,629.4,616.1,625.45,1007,EQ,72.0,13.99,854.0
2026-08-27,620.0,625.5,607.0,618.7,1395,EQ,134.0,10.41,1104.0
2026-08-28,615.0,622.9,612.0,614.35,1278,EQ,129.0,9.91,851.0
2026-08-31,614.35,660.0,613.9,634.8,9848,EQ,501.0,19.66,5769.0
2026-09-01,624.15,634.45,618.3,621.85,1787,EQ,187.0,9.56,1162.0
2026-09-02,659.0,659.0,620.0,640.05,2761,EQ,203.0,13.6,1913.0
2026-09-03,640.1,671.0,617.0,650.95,11659,EQ,826.0,14.12,7112.0
2026-09-04,635.0,649.95,624.0,630.4,4002,EQ,330.0,12.13,2642.0
2026-09-07,633.55,655.65,592.0,596.45,17992,EQ,1396.0,12.89,10319.0
2026-09-08,596.45,613.95,580.0,590.1,8090,EQ,543.0,14.9,5253.0
2026-09-09,591.0,603.95,581.7,587.7,2898,EQ,298.0,9.72,2273.0
2026-09-10,590.6,605.0,590.0,597.1,1262,EQ,146.0,8.64,999.0
2026-09-11,597.1,599.9,579.6,589.45,1396,EQ,180.0,7.76,901.0
2026-09-15,586.5,594.9,570.0,574.9,2708,EQ,381.0,7.11,1749.0
2026-09-16,580.65,584.0,560.0,561.7,2698,EQ,349,7.73,2124
2026-09-17,566.9,570.0,550.0,568.85,973,EQ,160,6.08,655
2026-09-18,564.35,580.0,560.0,575.1,1912,EQ,389,4.92,1323
