Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-03,110.0,118.99,106.54,110.32,178315729,EQ,733594.0,243.07,49872661.0
2026-09-04,112.4,122.0,111.22,114.5,139069849,EQ,451001.0,308.36,17106290.0
2026-09-07,116.75,121.0,114.4,114.82,44559124,EQ,165257.0,269.64,8530391.0
2026-09-08,116.23,118.0,107.2,108.12,21758832,EQ,98468.0,220.97,5903200.0
2026-09-09,109.6,110.25,105.41,106.32,20414218,EQ,82653.0,246.99,3544548.0
2026-09-10,106.49,110.75,102.5,107.93,19091007,EQ,79572.0,239.92,3570650.0
2026-09-11,106.0,112.8,105.65,108.81,22447623,EQ,92621.0,242.36,4240037.0
2026-09-15,109.7,110.64,100.62,103.16,7645621,EQ,42918.0,178.14,2314693.0
2026-09-16,102.99,102.99,98.05,100.29,9172632,EQ,45727,200.6,1975520
2026-09-17,100.1,108.6,98.51,107.14,20758824,EQ,88186,235.4,2740012
2026-09-18,109.4,112.9,107.2,111.52,21880189,EQ,98774,221.52,3274269
