Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-01,100.0,100.0,95.0,95.0,751200,ST,241,3117.01,751200
2026-09-02,90.25,90.25,90.25,90.25,2400,ST,2,1200.0,2400
2026-09-03,85.75,85.75,85.75,85.75,2400,ST,2,1200.0,2400
2026-09-07,81.5,81.5,81.5,81.5,1200,ST,1,1200.0,1200
2026-09-09,77.45,77.45,77.45,77.45,1200,ST,1,1200.0,1200
2026-09-10,73.6,73.6,73.6,73.6,4800,ST,4,1200.0,4800
2026-09-15,69.95,69.95,69.95,69.95,4800,ST,,,
2026-09-16,56.0,60.0,56.0,56.05,1153200,SM,442,2609.05,974400
2026-09-17,54.0,54.0,44.85,46.9,844800,SM,435,1942.07,534000
2026-09-18,46.3,51.55,45.5,51.1,285600,SM,187,1527.27,158400
