Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-27,55.2,55.2,52.45,52.45,934000,ST,307,3042.35,932000
2026-03-02,49.85,55.0,49.85,53.8,638000,ST,214,2981.31,628000
2026-03-04,51.15,55.45,51.15,54.95,62000,ST,27,2296.3,62000
2026-03-05,55.0,55.0,52.65,53.55,96000,ST,37,2594.59,94000
2026-03-06,53.0,53.25,51.0,52.1,132000,ST,49,2693.88,128000
2026-03-09,52.0,54.7,52.0,53.05,1066000,ST,221,4823.53,1062000
2026-03-10,53.8,55.7,53.05,55.7,84000,ST,24,3500.0,82000
2026-03-11,58.45,58.45,58.0,58.45,68000,ST,33,2060.61,68000
2026-03-12,58.45,60.0,57.0,59.3,18000,ST,9,2000.0,18000
2026-03-13,56.35,56.35,56.35,56.35,10000,ST,4,2500.0,10000
