Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-13,137.0,152.0,137.0,138.54,907069,EQ,7649,118.59,125178
2026-03-16,138.8,141.89,132.25,133.24,491325,EQ,3861,127.25,43329
2026-03-17,133.9,139.59,131.51,133.15,650866,EQ,6105,106.61,208166
2026-03-18,132.91,142.5,132.76,137.95,501163,EQ,7153,70.06,103984
2026-03-19,136.9,139.99,131.25,133.2,362360,EQ,3412,106.2,135441
2026-03-20,134.25,138.99,132.5,133.97,479939,EQ,4781,100.38,89871
2026-03-23,133.97,134.85,124.02,125.87,413760,EQ,4465,92.67,118447
2026-03-24,129.5,138.25,128.76,131.99,931519,EQ,5397,172.6,273637
2026-03-25,132.0,144.12,131.52,136.31,1431837,EQ,8358,171.31,484985
2026-03-27,138.34,138.79,130.5,132.12,819301,EQ,7504,109.18,386096
