Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,26.21,27.96,23.24,25.26,1151,EQ,17.0,67.71,1106.0
2026-08-18,20.33,27.68,20.33,25.05,1451,EQ,41.0,35.39,770.0
2026-08-19,26.5,27.45,21.0,23.56,2778,EQ,76.0,36.55,1959.0
2026-08-20,25.4,27.49,23.75,25.28,7427,EQ,67.0,110.85,5999.0
2026-08-21,25.28,25.28,24.15,25.2,1682,EQ,27.0,62.3,1507.0
2026-08-24,26.58,26.58,25.11,25.48,872,EQ,24.0,36.33,597.0
2026-08-25,26.43,27.99,25.0,26.0,6092,EQ,82.0,74.29,4254.0
2026-08-26,27.8,27.8,25.5,26.99,3361,EQ,79.0,42.54,2133.0
2026-08-27,25.6,27.38,25.0,25.5,4211,EQ,73.0,57.68,3129.0
2026-08-28,25.58,26.5,25.0,25.91,1313,EQ,38.0,34.55,1298.0
2026-08-31,26.03,26.5,26.03,26.49,101,EQ,5.0,20.2,101.0
2026-09-01,26.06,27.0,25.21,26.99,1869,EQ,61.0,30.64,1643.0
2026-09-02,23.8,27.29,23.8,26.7,4283,EQ,39.0,109.82,4243.0
2026-09-03,26.43,27.0,24.0,25.08,2755,EQ,31.0,88.87,2709.0
2026-09-04,26.9,26.9,25.16,26.29,1645,EQ,38.0,43.29,1449.0
2026-09-07,26.94,26.94,24.0,26.9,2926,EQ,38.0,77.0,2780.0
2026-09-08,27.0,27.9,25.0,25.62,772,EQ,39.0,19.79,576.0
2026-09-09,27.72,30.74,26.99,30.74,101210,EQ,799.0,126.67,43476.0
2026-09-10,32.79,36.8,29.96,35.22,493535,EQ,2779.0,177.59,187333.0
2026-09-11,34.59,36.2,31.7,31.7,64727,EQ,536.0,120.76,39557.0
2026-09-15,31.0,31.0,28.53,28.53,34469,EQ,176.0,195.85,23421.0
2026-09-16,27.9,27.9,25.68,25.81,21492,EQ,194,110.78,17036
2026-09-17,25.8,25.8,24.52,24.81,15631,EQ,243,64.33,10195
2026-09-18,24.25,25.82,24.0,25.82,3778,BE,38,99.42,3778
