Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,19.0,24.0,19.0,22.1,543,EQ,19.0,28.58,501.0
2026-04-21,21.25,24.0,21.25,23.4,1029,EQ,33.0,31.18,953.0
2026-04-22,24.55,24.7,20.0,22.85,2085,EQ,50.0,41.7,1588.0
2026-04-23,22.8,24.45,21.2,23.2,1236,EQ,17.0,72.71,1126.0
2026-04-24,23.55,23.55,21.25,21.65,1328,EQ,34.0,39.06,664.0
2026-04-27,21.65,23.75,21.65,21.75,910,EQ,51.0,17.84,840.0
2026-04-28,22.45,22.8,21.75,22.1,657,EQ,21.0,31.29,555.0
2026-04-29,23.45,23.95,21.45,22.65,4828,EQ,86.0,56.14,3872.0
2026-04-30,23.95,23.95,22.25,23.15,413,EQ,24.0,17.21,279.0
2026-05-04,24.4,24.4,22.22,24.03,1557,EQ,24.0,64.88,1507.0
2026-05-05,24.99,24.99,23.0,24.27,10546,EQ,110.0,95.87,4285.0
2026-05-06,25.39,25.4,24.0,24.8,2936,EQ,105.0,27.96,2908.0
2026-05-07,25.74,25.74,22.21,24.85,2022,EQ,86.0,23.51,1777.0
2026-05-08,25.99,29.82,23.42,29.0,111705,EQ,915.0,122.08,32319.0
2026-05-11,31.9,31.9,26.56,29.7,156218,EQ,1409.0,110.87,39672.0
2026-05-12,28.95,31.9,27.0,27.53,40192,EQ,493.0,81.53,17070.0
2026-05-13,28.99,29.1,26.91,27.11,6557,EQ,98.0,66.91,3528.0
2026-05-14,29.8,29.8,25.65,26.98,34491,EQ,246.0,140.21,20299.0
2026-05-15,26.85,26.85,24.41,24.88,2980,EQ,57.0,52.28,1906.0
2026-05-18,26.79,26.79,23.08,24.0,6618,EQ,75.0,88.24,5725.0
2026-05-19,24.99,26.95,24.78,26.51,8130,EQ,136.0,59.78,7590.0
2026-05-20,26.79,27.49,23.87,24.8,21158,EQ,360.0,58.77,6072.0
2026-05-21,26.85,26.98,24.0,25.26,10606,EQ,217.0,48.88,5733.0
2026-05-22,25.92,26.75,24.72,26.03,3575,EQ,120.0,29.79,2325.0
2026-05-25,27.39,28.95,25.55,26.84,31748,EQ,353.0,89.94,12145.0
2026-05-26,27.8,27.8,26.0,26.25,6312,EQ,80.0,78.9,3196.0
2026-05-27,27.2,27.2,25.56,25.64,3087,EQ,36.0,85.75,2133.0
2026-05-29,28.59,28.59,24.86,25.43,16036,EQ,339.0,47.3,4176.0
2026-06-01,25.43,27.59,25.43,25.49,1111,EQ,39.0,28.49,1063.0
