Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-02,36.86,36.86,36.13,36.13,72600,BE,321.0,226.17,72600.0
2026-06-03,35.41,35.41,35.41,35.41,14166,BE,99.0,143.09,14166.0
2026-06-04,34.71,34.71,34.71,34.71,8968,BE,98.0,91.51,8968.0
2026-06-05,34.02,34.02,34.02,34.02,12789,BE,78.0,163.96,12789.0
2026-06-08,33.34,33.34,33.34,33.34,5477,BE,91.0,60.19,5477.0
2026-06-09,32.68,32.68,32.68,32.68,11665,BE,116.0,100.56,11665.0
2026-06-10,32.03,32.03,32.03,32.03,11973,BE,87.0,137.62,11973.0
2026-06-11,31.39,31.39,31.39,31.39,11308,BE,101.0,111.96,11308.0
2026-06-12,30.77,30.77,30.77,30.77,16398,BE,160.0,102.49,16398.0
2026-06-15,30.16,31.38,30.16,31.38,84499,BE,428.0,197.43,84499.0
2026-06-16,31.5,32.0,31.5,32.0,48220,BE,192.0,251.15,48220.0
2026-06-17,32.0,32.15,32.0,32.0,44193,BE,229.0,192.98,44193.0
2026-06-18,32.64,32.64,32.64,32.64,28169,BE,98.0,287.44,28169.0
2026-06-19,33.29,33.29,33.29,33.29,20819,BE,93.0,223.86,20819.0
2026-06-22,33.95,33.95,33.95,33.95,14591,BE,87.0,167.71,14591.0
2026-06-23,34.62,34.62,34.62,34.62,93497,BE,140.0,667.84,93497.0
2026-06-24,35.31,35.31,35.31,35.31,112487,BE,161.0,698.68,112487.0
2026-06-25,35.3,35.3,34.61,34.61,64597,BE,246.0,262.59,64597.0
2026-06-29,33.93,33.93,33.92,33.92,78012,BE,116.0,672.52,78012.0
2026-06-30,33.92,33.92,33.25,33.3,42081,BE,161.0,261.37,42081.0
2026-07-01,33.11,33.96,33.11,33.96,56965,BE,214.0,266.19,56965.0
2026-07-02,34.63,34.63,34.63,34.63,70735,BE,107.0,661.07,70735.0
2026-07-03,35.32,35.32,35.32,35.32,120801,BE,151.0,800.01,120801.0
2026-07-06,34.62,37.08,34.3,37.08,187955,BE,855.0,219.83,187955.0
2026-07-07,38.0,38.49,35.23,35.38,257702,BE,872.0,295.53,257702.0
2026-07-08,34.5,35.92,33.75,34.92,267330,BE,607.0,440.41,267330.0
2026-07-09,34.21,36.66,33.8,35.91,274966,BE,685.0,401.41,274966.0
2026-07-10,35.79,36.2,34.29,35.69,146250,BE,611.0,239.36,146250.0
2026-07-13,34.51,37.0,34.31,35.93,217420,BE,575.0,378.12,217420.0
2026-07-14,35.05,37.3,34.75,36.54,150225,BE,477.0,314.94,150225.0
2026-07-15,36.48,37.99,35.1,35.93,104402,BE,514.0,203.12,104402.0
2026-07-16,35.98,36.79,35.05,36.42,127187,BE,338.0,376.29,127187.0
2026-07-17,36.4,37.5,35.35,36.2,139284,BE,434.0,320.93,139284.0
