Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-07,17.4,17.4,17.36,17.4,3909,EQ,60.0,65.15,3630.0
2026-08-10,17.83,17.83,17.35,17.4,18650,EQ,74.0,252.03,17737.0
2026-08-11,17.4,17.4,17.23,17.35,16952,EQ,109.0,155.52,16324.0
2026-08-12,17.36,17.45,17.3,17.45,1018,EQ,21.0,48.48,783.0
2026-08-13,17.43,17.48,17.41,17.47,3959,EQ,15.0,263.93,2848.0
2026-08-14,17.47,17.47,17.34,17.39,5295,EQ,39.0,135.77,5119.0
2026-08-17,17.3,17.36,17.27,17.34,52878,EQ,27.0,1958.44,35360.0
2026-08-18,17.3,17.37,17.25,17.35,728,EQ,19.0,38.32,626.0
2026-08-19,17.35,17.47,17.35,17.47,3919,EQ,19.0,206.26,3753.0
2026-08-20,17.56,17.83,17.5,17.51,4010,EQ,21.0,190.95,3964.0
2026-08-21,17.5,17.65,17.49,17.65,4278,EQ,22.0,194.45,4018.0
2026-08-24,17.62,17.62,17.46,17.47,6868,EQ,47.0,146.13,6542.0
2026-08-25,17.67,17.67,17.46,17.54,2430,EQ,21.0,115.71,2244.0
2026-08-26,17.61,17.61,17.52,17.54,2079,EQ,23.0,90.39,1978.0
2026-08-27,17.54,17.54,17.35,17.37,3168,EQ,78.0,40.62,2449.0
2026-08-28,17.29,17.36,17.21,17.22,9277,EQ,71.0,130.66,8977.0
2026-08-31,17.39,18.22,17.09,17.83,10234,EQ,46.0,222.48,9238.0
2026-09-01,17.7,17.7,17.28,17.34,22439,EQ,103.0,217.85,22117.0
2026-09-02,17.4,17.4,17.12,17.33,5659,EQ,27.0,209.59,5443.0
2026-09-03,17.43,17.52,17.43,17.52,1239,EQ,10.0,123.9,1169.0
2026-09-04,17.52,17.54,17.47,17.5,10430,EQ,24.0,434.58,7516.0
2026-09-07,17.5,17.5,17.35,17.38,2242,EQ,30.0,74.73,2013.0
2026-09-08,17.38,17.47,17.38,17.43,3817,EQ,15.0,254.47,2706.0
2026-09-09,17.4,17.46,17.4,17.42,1080,EQ,10.0,108.0,969.0
2026-09-10,17.46,17.46,17.33,17.4,2014,EQ,31.0,64.97,1911.0
2026-09-11,17.18,17.39,17.18,17.39,2320,EQ,23.0,100.87,2212.0
2026-09-15,17.32,17.32,17.01,17.07,536738,EQ,98.0,5476.92,406494.0
2026-09-16,17.18,18.0,16.94,17.22,220246,EQ,41,5371.85,156814
2026-09-17,17.27,17.27,17.1,17.14,6401,EQ,26,246.19,4306
2026-09-18,17.22,17.75,17.15,17.24,12233,EQ,20,611.65,11145
