Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,690.0,715.0,660.0,682.55,30462,EQ,767.0,39.72,10206.0
2026-08-18,714.95,721.0,693.0,707.9,76476,EQ,1314.0,58.2,30363.0
2026-08-19,707.95,718.1,690.1,701.05,77497,EQ,1150.0,67.39,42769.0
2026-08-20,709.2,713.95,687.4,704.95,59632,EQ,1206.0,49.45,13092.0
2026-08-21,716.95,719.25,698.6,704.6,162764,EQ,1589.0,102.43,71189.0
2026-08-24,710.0,715.95,703.0,707.8,83992,EQ,1202.0,69.88,22630.0
2026-08-25,711.05,738.45,703.05,722.05,100151,EQ,1927.0,51.97,37212.0
2026-08-26,726.0,736.4,718.05,726.45,85569,EQ,1447.0,59.14,19858.0
2026-08-27,716.75,742.9,711.8,718.75,75771,EQ,1869.0,40.54,26725.0
2026-08-28,724.5,727.0,689.05,709.95,94256,EQ,2277.0,41.39,44705.0
2026-08-31,715.55,724.0,689.0,706.35,85795,EQ,1657.0,51.78,34766.0
2026-09-01,723.0,725.0,714.1,722.85,70807,EQ,1051.0,67.37,36195.0
2026-09-02,724.2,727.95,710.05,722.55,65224,EQ,1027.0,63.51,12068.0
2026-09-03,728.05,733.45,711.1,718.4,75209,EQ,1486.0,50.61,22029.0
2026-09-04,722.0,722.35,711.85,717.05,82890,EQ,670.0,123.72,48508.0
2026-09-07,722.5,733.55,707.5,710.15,57187,EQ,888.0,64.4,24353.0
2026-09-08,719.0,725.85,700.5,704.6,68291,EQ,1403.0,48.67,24147.0
2026-09-09,709.2,714.95,666.55,688.4,116329,EQ,4993.0,23.3,32946.0
2026-09-10,692.9,717.45,678.2,687.2,66187,EQ,1554.0,42.59,20078.0
2026-09-11,699.95,699.95,669.95,676.45,76449,EQ,1852.0,41.28,15384.0
2026-09-15,681.3,698.7,658.2,666.1,89895,EQ,1676.0,53.64,52144.0
2026-09-16,689.95,704.9,640.5,663.0,140872,EQ,5872,23.99,47044
2026-09-17,664.95,690.8,651.0,689.0,156055,EQ,2778,56.18,104350
2026-09-18,699.5,714.85,689.95,711.35,83235,EQ,2313,35.99,30197
