Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,165.0,181.5,165.0,181.5,92269979,EQ,351646.0,262.39,62075610.0
2026-08-19,190.0,199.65,190.0,199.65,29368751,EQ,122333.0,240.07,11158043.0
2026-08-20,207.8,211.8,181.5,184.89,56542171,EQ,389104.0,145.31,11202981.0
2026-08-21,190.0,194.7,183.51,189.22,32756478,EQ,221198.0,148.09,3855500.0
2026-08-24,191.0,199.1,186.23,196.66,19647276,EQ,138199.0,142.17,5378734.0
2026-08-25,198.0,205.7,197.0,201.92,15543026,EQ,99960.0,155.49,2623603.0
2026-08-26,201.9,222.11,198.06,222.11,20878033,EQ,129940.0,160.67,4693173.0
2026-08-27,227.39,233.8,212.66,217.31,59235093,EQ,431518.0,137.27,6415948.0
2026-08-28,215.0,217.26,210.1,214.31,14621198,EQ,97559.0,149.87,2765127.0
2026-08-31,218.75,222.0,206.4,210.94,13349862,EQ,91838.0,145.36,2766659.0
2026-09-01,230.79,232.03,221.92,232.03,23925717,EQ,139316.0,171.74,6449540.0
2026-09-02,234.0,255.23,228.36,252.04,56560370,EQ,391757.0,144.38,9787871.0
2026-09-03,250.62,268.69,246.35,252.89,44203953,EQ,376426.0,117.43,4920246.0
2026-09-04,255.0,260.59,249.5,252.43,14599282,EQ,107595.0,135.69,1987628.0
2026-09-07,255.06,277.67,248.56,276.01,35261875,EQ,212254.0,166.13,6208571.0
2026-09-08,278.0,288.45,270.65,275.97,15671478,EQ,152614.0,102.69,3768837.0
2026-09-09,274.94,274.94,262.18,265.56,8108465,EQ,64994.0,124.76,2690180.0
2026-09-10,267.0,278.83,265.32,278.83,8013334,EQ,68554.0,116.89,2685614.0
2026-09-11,279.0,292.77,276.83,292.77,8807785,EQ,68325.0,128.91,3014398.0
2026-09-15,290.0,304.7,278.14,278.14,10778708,EQ,83785.0,128.65,3768145.0
2026-09-16,270.0,281.7,264.24,276.23,13428031,EQ,81791,164.17,4782128
2026-09-17,276.01,282.7,270.06,274.76,3974674,EQ,51699,76.88,1231443
2026-09-18,276.13,283.98,271.5,274.07,5036730,EQ,50902,98.95,1583111
