Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,2.07,2.2,2.05,2.06,12666,EQ,25.0,506.64,2690.0
2026-08-18,2.14,2.18,1.71,2.08,113814,EQ,90.0,1264.6,75194.0
2026-08-19,2.09,2.24,2.01,2.21,75580,EQ,160.0,472.38,49017.0
2026-08-20,2.24,2.65,2.23,2.65,312753,EQ,356.0,878.52,230728.0
2026-08-21,3.09,3.18,3.09,3.18,148926,EQ,140.0,1063.76,132452.0
2026-08-24,3.4,3.49,3.4,3.49,221245,EQ,167.0,1324.82,167187.0
2026-08-25,3.4,3.74,3.15,3.63,693303,EQ,1438.0,482.13,450334.0
2026-08-26,3.75,3.81,3.7,3.81,77069,BE,183.0,421.14,77069.0
2026-08-27,4.0,4.0,4.0,4.0,73183,BE,75.0,975.77,73183.0
2026-08-28,4.2,4.2,4.2,4.2,116714,BE,135.0,864.55,116714.0
2026-08-31,4.41,4.41,4.41,4.41,64252,BE,56.0,1147.36,64252.0
2026-09-01,4.63,4.63,4.63,4.63,49850,BE,65.0,766.92,49850.0
2026-09-02,4.86,4.86,4.86,4.86,92358,BE,82.0,1126.32,92358.0
2026-09-03,5.1,5.1,5.0,5.1,270637,BE,186.0,1455.04,270637.0
2026-09-04,5.35,5.35,5.35,5.35,73953,BE,113.0,654.45,73953.0
2026-09-07,5.61,5.61,5.61,5.61,215075,BE,294.0,731.55,215075.0
2026-09-08,5.89,5.89,5.89,5.89,55821,BE,117.0,477.1,55821.0
2026-09-09,5.88,5.88,5.78,5.78,198559,BE,300.0,661.86,198559.0
2026-09-10,5.67,5.67,5.67,5.67,34271,BE,94.0,364.59,34271.0
2026-09-11,5.56,5.56,5.56,5.56,9067,BE,59.0,153.68,9067.0
2026-09-15,5.45,5.45,5.45,5.45,3829,BE,51.0,75.08,3829.0
2026-09-16,5.35,5.35,5.35,5.35,7324,BE,52,140.85,7324
2026-09-17,5.25,5.25,5.25,5.25,17562,BE,43,408.42,17562
2026-09-18,5.15,5.15,5.15,5.15,7728,BE,50,154.56,7728
