Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,58.65,58.7,45.7,53.91,2523,EQ,40.0,63.08,2000.0
2026-08-18,56.75,56.75,52.0,53.91,1976,EQ,52.0,38.0,1801.0
2026-08-19,53.62,61.9,53.62,56.13,28554,EQ,405.0,70.5,18067.0
2026-08-20,59.89,62.9,55.61,56.69,19022,EQ,198.0,96.07,8946.0
2026-08-21,56.69,58.52,56.69,57.24,3750,EQ,80.0,46.88,3368.0
2026-08-24,57.24,61.0,56.55,60.11,11607,EQ,121.0,95.93,11491.0
2026-08-25,61.0,63.0,60.1,61.88,37428,EQ,383.0,97.72,20934.0
2026-08-26,65.0,65.0,61.3,63.38,27799,EQ,324.0,85.8,21320.0
2026-08-27,64.0,68.69,62.01,64.3,40017,EQ,215.0,186.13,29088.0
2026-08-28,64.01,64.9,60.1,62.6,31078,EQ,218.0,142.56,25992.0
2026-08-31,63.86,63.86,60.33,62.08,17681,EQ,165.0,107.16,14515.0
2026-09-01,63.5,63.5,59.01,61.61,25268,EQ,243.0,103.98,19839.0
2026-09-02,60.61,61.89,55.52,61.42,14748,EQ,296.0,49.82,6127.0
2026-09-03,62.0,62.89,58.8,60.18,10578,EQ,155.0,68.25,8037.0
2026-09-04,61.89,63.0,60.24,62.18,17942,EQ,249.0,72.06,14712.0
2026-09-07,62.0,62.02,60.25,61.35,3667,EQ,192.0,19.1,2791.0
2026-09-08,60.2,66.0,60.2,64.01,15243,EQ,159.0,95.87,13774.0
2026-09-09,65.89,66.5,62.57,64.88,40623,EQ,674.0,60.27,30445.0
2026-09-10,66.1,66.1,63.25,65.73,7037,EQ,132.0,53.31,6365.0
2026-09-11,65.9,65.9,61.2,64.99,33700,EQ,606.0,55.61,23025.0
2026-09-15,66.9,66.9,61.5,64.52,4900,EQ,159.0,30.82,3736.0
2026-09-16,65.88,65.88,62.59,65.17,14202,EQ,304,46.72,12361
2026-09-17,66.94,67.9,64.2,67.23,26545,EQ,314,84.54,17293
2026-09-18,67.9,69.87,65.75,67.43,49723,EQ,600,82.87,33430
