Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,89.0,90.0,78.01,81.44,10534,EQ,233.0,45.21,5645.0
2026-08-18,85.9,85.9,75.25,77.61,23394,EQ,343.0,68.2,9604.0
2026-08-19,80.0,82.59,76.05,80.1,12147,EQ,295.0,41.18,9166.0
2026-08-20,78.1,91.9,78.1,87.01,22749,EQ,349.0,65.18,16045.0
2026-08-21,84.01,92.0,84.0,90.2,27578,EQ,330.0,83.57,21352.0
2026-08-24,91.8,93.0,88.0,91.88,23270,EQ,489.0,47.59,20074.0
2026-08-25,90.04,92.0,89.32,91.21,11060,EQ,180.0,61.44,8826.0
2026-08-26,91.0,91.9,90.0,90.15,2856,EQ,61.0,46.82,2268.0
2026-08-27,90.01,91.0,85.5,86.87,4960,EQ,119.0,41.68,4108.0
2026-08-28,86.01,89.98,85.65,86.71,4729,EQ,141.0,33.54,3546.0
2026-08-31,83.0,87.99,83.0,86.71,3217,EQ,133.0,24.19,2531.0
2026-09-01,84.01,87.97,82.21,83.88,2773,EQ,98.0,28.3,2236.0
2026-09-02,83.88,83.88,81.6,83.15,2213,EQ,48.0,46.1,1584.0
2026-09-03,82.91,85.0,82.15,82.62,2031,EQ,71.0,28.61,1114.0
2026-09-04,83.55,85.0,82.5,83.63,1824,EQ,62.0,29.42,972.0
2026-09-07,86.48,88.0,84.05,85.8,2956,EQ,90.0,32.84,1798.0
2026-09-08,85.8,87.99,82.1,84.87,2618,EQ,129.0,20.29,2129.0
2026-09-09,86.0,87.4,82.5,84.97,1232,EQ,64.0,19.25,1073.0
2026-09-10,86.9,86.9,81.0,83.42,7365,EQ,96.0,76.72,5387.0
2026-09-11,83.42,83.42,79.0,80.64,3274,EQ,132.0,24.8,2923.0
2026-09-15,80.64,83.0,75.0,78.84,5091,EQ,153.0,33.27,4542.0
2026-09-16,80.0,80.0,75.43,75.59,2562,EQ,64,40.03,2103
2026-09-17,79.0,82.0,78.11,79.12,8363,EQ,149,56.13,5808
2026-09-18,83.0,86.0,77.11,79.82,3524,EQ,202,17.45,2213
