Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,64.1,67.3,61.25,67.3,555200,ST,204,2721.57,545600
2026-03-04,63.95,63.95,63.95,63.95,8000,ST,5,1600.0,8000
2026-03-05,60.8,60.8,60.8,60.8,6400,ST,4,1600.0,6400
2026-03-06,58.1,58.3,57.8,57.8,72000,ST,35,2057.14,64000
2026-03-09,54.95,54.95,54.95,54.95,3200,ST,1,3200.0,3200
2026-03-10,52.25,57.65,52.25,54.0,169600,ST,71,2388.73,155200
2026-03-11,54.8,54.95,51.3,51.3,44800,ST,25,1792.0,44800
2026-03-12,51.3,51.3,48.8,49.9,22400,ST,14,1600.0,22400
2026-03-13,48.0,52.35,47.45,48.1,60800,ST,30,2026.67,51200
2026-03-16,48.1,49.0,48.0,48.0,14400,ST,8,1800.0,12800
2026-03-17,48.0,48.2,48.0,48.05,16000,SM,7,2285.71,14400
2026-03-18,48.0,48.0,46.25,46.25,19200,SM,12,1600.0,19200
2026-03-19,45.0,46.0,45.0,45.0,20800,SM,11,1890.91,20800
2026-03-20,45.3,54.0,45.3,54.0,107200,SM,53,2022.64,88000
