Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,2.8,2.8,2.15,2.49,84012,EQ,104.0,807.81,74428.0
2026-08-18,2.71,2.71,2.32,2.45,17417,EQ,72.0,241.9,14759.0
2026-08-19,2.21,2.65,2.21,2.39,9626,EQ,73.0,131.86,7313.0
2026-08-20,2.49,2.65,2.31,2.52,57243,EQ,127.0,450.73,51651.0
2026-08-21,2.35,2.65,2.35,2.52,17119,EQ,63.0,271.73,11583.0
2026-08-24,2.76,2.76,2.44,2.51,51633,EQ,100.0,516.33,43032.0
2026-08-25,2.47,2.62,2.46,2.54,11300,EQ,78.0,144.87,10719.0
2026-08-26,2.49,2.7,2.49,2.59,13358,EQ,109.0,122.55,10977.0
2026-08-27,2.55,2.69,2.55,2.64,17300,EQ,71.0,243.66,15557.0
2026-08-28,2.64,3.16,2.6,2.95,843639,EQ,519.0,1625.51,553518.0
2026-08-31,3.01,3.3,2.95,3.24,202176,EQ,298.0,678.44,163684.0
2026-09-01,3.24,3.3,3.0,3.13,167572,EQ,279.0,600.62,121511.0
2026-09-02,3.13,3.13,2.96,2.96,29651,EQ,148.0,200.34,18190.0
2026-09-03,2.96,2.96,2.79,2.8,97222,EQ,173.0,561.98,86160.0
2026-09-04,2.8,2.84,2.6,2.79,133842,EQ,151.0,886.37,97805.0
2026-09-07,2.79,2.9,2.7,2.81,140078,EQ,152.0,921.57,106850.0
2026-09-08,2.84,2.84,2.71,2.71,31496,EQ,78.0,403.79,21295.0
2026-09-09,2.78,2.84,2.66,2.74,90916,EQ,117.0,777.06,79819.0
2026-09-10,2.78,2.84,2.7,2.75,35555,EQ,79.0,450.06,23408.0
2026-09-11,2.78,2.78,2.38,2.63,242470,EQ,237.0,1023.08,154232.0
2026-09-15,2.72,2.79,2.25,2.54,228258,EQ,551.0,414.26,141764.0
2026-09-16,2.54,2.99,2.48,2.61,79733,EQ,160,498.33,56754
2026-09-17,2.61,2.66,2.41,2.44,105342,EQ,313,336.56,74644
2026-09-18,2.44,2.54,2.4,2.45,64284,EQ,143,449.54,53176
