Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,980.0,1064.75,926.35,1041.7,15977892,EQ,465928.0,34.29,6805414.0
2026-08-18,1037.0,1177.0,1022.65,1110.9,11279774,EQ,332869.0,33.89,844763.0
2026-08-19,1085.0,1132.85,1012.0,1036.65,6151804,EQ,200658.0,30.66,569365.0
2026-08-20,1046.9,1083.5,1020.05,1036.65,2213704,EQ,76818.0,28.82,289123.0
2026-08-21,1047.05,1118.4,1041.2,1098.45,3642177,EQ,139179.0,26.17,474946.0
2026-08-24,1125.0,1219.95,1125.0,1199.3,4088878,EQ,157550.0,25.95,651271.0
2026-08-25,1224.15,1247.0,1180.05,1227.35,2430947,EQ,104904.0,23.17,395544.0
2026-08-26,1242.0,1264.6,1215.0,1238.85,1373950,EQ,70050.0,19.61,209273.0
2026-08-27,1234.0,1243.7,1130.1,1144.15,1151166,EQ,48657.0,23.66,260666.0
2026-08-28,1153.95,1156.1,1077.5,1094.75,980898,EQ,35736.0,27.45,256746.0
2026-08-31,1102.1,1161.1,1065.2,1086.3,1158527,EQ,48850.0,23.72,127767.0
2026-09-01,1072.3,1089.2,1035.2,1053.3,476294,EQ,22457.0,21.21,125610.0
2026-09-02,1047.2,1132.1,1043.8,1107.8,1874333,EQ,66785.0,28.07,217256.0
2026-09-03,1120.0,1141.8,1103.0,1135.2,465643,EQ,18982.0,24.53,95678.0
2026-09-04,1139.9,1177.0,1117.2,1160.5,594273,EQ,23770.0,25.0,154110.0
2026-09-07,1170.0,1183.7,1098.2,1127.2,1068499,EQ,41413.0,25.8,233751.0
2026-09-08,1127.2,1155.0,1110.2,1117.5,322070,EQ,14267.0,22.57,68445.0
2026-09-09,1119.0,1293.5,1111.5,1257.9,9414132,EQ,310707.0,30.3,703427.0
2026-09-10,1271.0,1509.4,1271.0,1509.4,11329700,EQ,342700.0,33.06,860266.0
2026-09-11,1545.0,1686.8,1391.7,1438.2,22057840,EQ,828870.0,26.61,1968448.0
2026-09-15,1419.7,1419.7,1273.0,1356.8,3774360,EQ,171177.0,22.05,428699.0
2026-09-16,1385.0,1437.6,1196.2,1307.0,8096253,EQ,356625,22.7,583119
2026-09-17,1313.5,1382.0,1272.1,1285.3,3801397,EQ,160300,23.71,366416
2026-09-18,1297.1,1314.8,1262.2,1288.3,1435104,EQ,56261,25.51,167923
